Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Emily Bergland	F	So	35	16	9	25	0.7143	5	10	2	5	1	0
Alexis Joyce	D	Jr	35	4	16	20	0.5714	13	26	1	0	0	0
Lauren Miller	F	Sr	35	9	9	18	0.5143	21	45	1	2	0	1
Madison Hutchinson	D	Sr	35	5	12	17	0.4857	9	18	0	2	0	0
Emma Terres	F/D	Jr	35	6	8	14	0.4000	7	14	2	3	0	0
Haley Mack	F	Fr	35	4	9	13	0.3714	3	6	0	1	0	0
Abby Halluska	F	Fr	35	5	6	11	0.3143	6	12	1	1	0	0
Summer Thibodeau	F	Jr	32	4	5	9	0.2813	3	6	1	0	0	0
Kiki Radke	F	Fr	33	3	6	9	0.2727	5	10	0	1	0	0
Ciscely Nelson	F	Sr	33	4	2	6	0.1818	3	6	1	0	0	1
Melissa Hunt	D	So	35	2	4	6	0.1714	9	18	1	1	0	0
Lisa Laiti	D	So	33	1	5	6	0.1818	8	16	0	1	0	0
Bailey Wright	F	Sr	34	0	6	6	0.1765	5	10	0	0	0	0
Reilly Fawcett	F	Jr	35	2	3	5	0.1429	7	14	1	0	0	0
Jacqueline Kaasa	F	Fr	35	2	3	5	0.1429	2	4	1	0	0	0
Natalie Stanwood	D	So	18	0	2	2	0.1111	0	0	0	0	0	0
Carley Esse	D	Sr	35	0	2	2	0.0571	5	10	0	0	0	0
Brianna Jorde	D	Fr	26	0	2	2	0.0769	2	4	0	0	0	0
Sylvia Marolt	F	So	29	0	1	1	0.0345	2	4	0	0	0	0
Heather Olson	D	Fr	7	0	1	1	0.1429	0	0	0	0	0	0
Brittni Mowat	G	Sr	33	0	0	0	0.0000	0	0	0	0	0	0
Erin Deters	G	Sr	2	0	0	0	0.0000	0	0	0	0	0	0
