"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Stacey Kempson","C","Sr","27","16","10","26","0.9630","23","54","2","1","0","1","2010-2011","adrian"
"Olivia Rork","F/RW","Jr","29","11","12","23","0.7931","23","46","2","4","2","0","2010-2011","adrian"
"Ashley Gniewek","F","So","29","8","12","20","0.6897","5","10","2","3","0","0","2010-2011","adrian"
"Nina Laurie","F","Fr","27","11","7","18","0.6667","2","4","2","2","1","0","2010-2011","adrian"
"Brooke Zaleski","F","Jr","30","4","14","18","0.6000","7","14","2","1","0","0","2010-2011","adrian"
"Kelly Salis","D","Jr","30","9","8","17","0.5667","11","22","1","4","0","0","2010-2011","adrian"
"Danielle Smith","LW","Fr","29","8","8","16","0.5517","10","20","1","1","0","1","2010-2011","adrian"
"Jessica Grubbs","RW","Sr","28","6","8","14","0.5000","6","12","3","1","0","0","2010-2011","adrian"
"Nicky Futers","F","Sr","30","4","9","13","0.4333","17","34","2","0","0","0","2010-2011","adrian"
"Danielle Maludy","D","Sr","27","2","8","10","0.3704","10","20","1","1","0","0","2010-2011","adrian"
"Lauren Anastos","RW","Sr","29","2","5","7","0.2414","6","12","1","0","0","0","2010-2011","adrian"
"Lauren Turner","F","Fr","25","3","2","5","0.2000","4","8","0","0","0","0","2010-2011","adrian"
"Jenna Corbin","F/C","Sr","19","2","2","4","0.2105","3","6","0","1","0","0","2010-2011","adrian"
"Morgan Poole","RW","Fr","24","1","3","4","0.1667","6","12","0","0","0","0","2010-2011","adrian"
"Ashley Chinn","F","So","8","1","3","4","0.5000","1","2","0","1","0","0","2010-2011","adrian"
"Shana Davis","LW","Sr","17","1","3","4","0.2353","0","0","0","0","0","0","2010-2011","adrian"
"Rebecca Hampton","D","Fr","30","2","1","3","0.1000","5","10","0","0","0","0","2010-2011","adrian"
"Ashley Aiken","C/D","Sr","27","1","2","3","0.1111","5","10","0","0","0","0","2010-2011","adrian"
"Alix Vallee","D","Fr","28","0","3","3","0.1071","11","22","0","0","0","0","2010-2011","adrian"
"Amanda Gay","D","Fr","22","0","1","1","0.0455","4","8","0","0","0","0","2010-2011","adrian"
"Kendra Uliana","F","So","10","0","1","1","0.1000","3","6","0","0","0","0","2010-2011","adrian"
"Emily Engel","G","Jr","2","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","adrian"
"Emily Michelin","G","Fr","25","0","0","0","0.0000","2","4","0","0","0","0","2010-2011","adrian"
"Meghan Smerecki","G","Jr","1","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","adrian"
"Hayley Betker","D","Fr","3","0","0","0","0.0000","0","0","0","0","0","0","2010-2011","adrian"
