Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Stacey Kempson	F	So	24	18	19	37	1.5417	33	82	5	1	1	1
Jessica Grubbs	F	So	25	25	11	36	1.4400	11	22	8	11	2	2
Brooke Zaleski	F	Fr	25	6	14	20	0.8000	15	30	0	1	1	1
Alexis Glenn	D	So	25	6	11	17	0.6800	13	26	1	3	0	0
Lyndsay Laxton	F	Sr	21	8	4	12	0.5714	15	30	1	1	0	0
Kelly Salis	D	Fr	23	2	8	10	0.4348	7	14	1	0	0	0
Olivia Rork	F	Fr	24	5	4	9	0.3750	16	43	2	0	0	0
Steph Dimini	F	So	19	3	6	9	0.4737	1	2	0	1	0	0
Andrea Soloko	D	So	19	0	9	9	0.4737	14	39	0	0	0	0
Prenella Semma	F	Fr	25	3	5	8	0.3200	6	12	0	0	0	1
Shana Davis	LW	So	25	1	5	6	0.2400	3	6	0	0	0	0
Nicky Futers	F	So	17	2	3	5	0.2941	4	8	0	1	0	0
Nicole Zynda	D	Jr	25	1	4	5	0.2000	4	8	0	0	0	0
Jodi Myers	D	So	17	0	5	5	0.2941	5	10	0	0	0	0
Lauren Anastos	F	So	24	2	2	4	0.1667	5	10	0	0	0	0
Dana Funkenhauser	D	So	19	0	4	4	0.2105	17	34	0	0	0	0
Ainsley Coon	F	So	20	0	3	3	0.1500	1	5	0	0	0	0
Erin Winters	D	Fr	10	1	0	1	0.1000	1	2	0	0	0	0
Jenna Corbin	F	So	6	1	0	1	0.1667	1	2	0	0	0	0
Erin Roach	G	So	2	0	0	0	0.0000	0	0	0	0	0	0
Leah Humphries	F	So	5	0	0	0	0.0000	1	2	0	0	0	0
Danielle Maludy	D	So	3	0	0	0	0.0000	2	4	0	0	0	0
Meaghan Smerecki	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Ashley Aiken	F/D	So	4	0	0	0	0.0000	1	2	0	0	0	0
Dana Timm	G	Jr	24	0	0	0	0.0000	1	2	0	0	0	0
Nikki Potter	D	So	6	0	0	0	0.0000	2	4	0	0	0	0
Alysha Drouin	F	So	3	0	0	0	0.0000	0	0	0	0	0	0
