Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Danielle Williams	F	Sr	24	9	10	19	0.7917	0	2	0	0
Alison White	F	Jr	24	5	4	9	0.3750	0	0	0	0
Tory Serues	F	Jr	24	5	1	6	0.2500	0	0	0	0
Renee Sisti	F	Fr	12	4	2	6	0.5000	1	1	0	0
Leah Kaplan	F	Fr	24	5	0	5	0.2083	1	0	0	0
Sarah Mason	D	So	24	1	4	5	0.2083	0	0	0	0
Alicia Pichard	D	So	24	2	2	4	0.1667	0	0	0	0
Jess Matthews	F	Fr	24	2	1	3	0.1250	0	0	0	0
Bethany Croy	D	Fr	24	1	2	3	0.1250	1	0	0	0
Ellie Roe	F	So	23	1	2	3	0.1304	0	0	0	0
Annie Grabowski	F	So	19	0	3	3	0.1579	0	0	0	0
Amanda Mattei	D	Fr	24	0	3	3	0.1250	0	0	0	0
Elissa Landes	F/D	Jr	19	1	0	1	0.0526	0	0	0	0
Lauren Caldwell	D	So	15	0	0	0	0.0000	0	0	0	0
Heidi Alexander	G	Sr	24	0	0	0	0.0000	0	0	0	0
Amanda Muller	D	Jr	20	0	0	0	0.0000	0	0	0	0
K.C. Cosentino	G	So	1	0	0	0	0.0000	0	0	0	0
Katie Potter	F	Jr	17	0	0	0	0.0000	0	0	0	0
