Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Lindsey Harrington	F	Fr	25	15	10	25	1.0000	0	5	1	0
Tarasai Karega	F	Fr	24	16	5	21	0.8750	3	9	3	0
Anna MacLean	F	Fr	25	10	4	14	0.5600	3	3	0	0
Renee Sisti	F	Sr	24	3	10	13	0.5417	0	0	0	0
Meghan Dickoff	D	Jr	25	5	7	12	0.4800	0	1	0	0
Rachel Simon	F	Jr	25	2	10	12	0.4800	0	1	0	0
Elizabeth Ditmore	F	So	25	2	8	10	0.4000	0	1	0	0
Tes Siarnacki	D	Jr	25	3	6	9	0.3600	1	3	0	0
Megan Quinn	D	So	25	3	5	8	0.3200	0	1	0	0
Katharine Kelly	D	So	25	1	7	8	0.3200	0	1	0	0
Alena Harrison	F	Jr	25	1	5	6	0.2400	0	0	0	0
Leah Kaplan	F	Sr	18	3	2	5	0.2778	0	0	0	0
Kirsten Forsberg	D	Jr	25	3	2	5	0.2000	2	1	0	0
Julie Radziewicz	D	Fr	25	0	4	4	0.1600	0	0	0	0
Amanda Mattei	D	Sr	25	0	4	4	0.1600	0	0	0	0
Natanya Khazzam	F	So	17	1	2	3	0.1765	1	0	0	0
Christa Porcaro	F	So	24	0	2	2	0.0833	0	0	0	0
Fairlee Frey	D	So	22	0	1	1	0.0455	0	0	0	0
Emily Cronin	D	Jr	13	0	0	0	0.0000	0	0	0	0
Bethany Croy	D	Sr	5	0	0	0	0.0000	0	0	0	0
Lindsay Grabowski	G	Jr	3	0	0	0	0.0000	0	0	0	0
Blanca Myers	F	Fr	3	0	0	0	0.0000	0	0	0	0
Stacey Johnston	G	So	23	0	0	0	0.0000	0	0	0	0
