Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Geneva Lloyd	D	Fr	28	9	22	31	1.1071	3	6	3	2	0	0
Courtney Hanlon	F	Jr	29	16	14	30	1.0345	10	20	4	5	2	1
Randi Zukas	D	Jr	27	6	24	30	1.1111	8	16	2	4	0	0
Kate Dennett	F	Sr	29	7	18	25	0.8621	11	30	0	4	0	1
Kirsten Dier	D	Sr	26	7	15	22	0.8462	6	12	2	5	0	0
Michelle McGann	F	Sr	29	8	13	21	0.7241	6	12	2	2	0	0
Josie Fisher	F	So	28	9	11	20	0.7143	2	4	3	3	0	0
Emily Vitale	F	So	29	8	12	20	0.6897	5	10	0	2	0	0
Ellen Swiontkowski	F	So	28	4	13	17	0.6071	4	8	1	1	0	0
Stephanie Clegg	D	So	29	10	6	16	0.5517	12	24	1	7	0	0
Megan Curry	F	Jr	29	8	7	15	0.5172	3	6	1	1	0	1
Brittney Evans	F	Jr	28	5	8	13	0.4643	5	10	0	1	0	0
Braidie Campbell	F	Jr	29	4	8	12	0.4138	8	16	2	0	0	0
Alyssa Chwick	D	Sr	29	1	11	12	0.4138	4	8	0	0	0	0
Julia Koch	D	Jr	29	1	9	10	0.3448	4	8	0	0	0	0
Cianna Wyshnytzky	F	Jr	28	4	5	9	0.3214	9	18	1	0	0	0
Molly Malloy	D	Sr	17	6	1	7	0.4118	0	0	0	0	0	0
Megan Doyen	F	Fr	27	4	3	7	0.2593	1	2	1	0	0	0
Kaitlyn McInnis	F	Fr	21	0	3	3	0.1429	1	2	0	0	0	0
Sinead Murphy	G	So	12	0	0	0	0.0000	0	0	0	0	0	0
Caroline Hu	G	Jr	18	0	0	0	0.0000	1	2	0	0	0	0
