Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Lauren Chezick	F	Fr	23	7	15	22	0.9565	1	4	0	0
Melynda Kleewein	F	Fr	24	6	12	18	0.7500	1	1	0	0
Laura McGowan	F	Sr	25	7	8	15	0.6000	2	2	0	0
Annie Mattison	D	Sr	25	6	8	14	0.5600	0	2	0	0
Kristi Brusletto	D	Sr	25	6	5	11	0.4400	1	2	0	0
Jenny Martin	F	Fr	25	6	4	10	0.4000	1	1	0	0
Dottie Gilkerson	F	So	25	6	3	9	0.3600	1	2	0	0
Carrie Velenchenko	F	Fr	25	6	1	7	0.2800	2	0	0	0
April Leger	F	Sr	25	1	6	7	0.2800	0	0	0	0
Hannah Dietrich	F	Fr	21	3	3	6	0.2857	0	0	0	0
Corrie Kyzyska	F	Fr	24	2	3	5	0.2083	0	0	0	0
Laura Hoffman	D	So	23	2	2	4	0.1739	0	0	0	0
Katie Cheese	D	Sr	23	1	3	4	0.1739	0	0	0	0
Erika Horner	D	Fr	25	1	2	3	0.1200	0	0	0	0
Rachel Leger	D	Sr	25	1	1	2	0.0800	0	1	0	0
Laura Prasek	D	Fr	11	0	2	2	0.1818	0	0	0	0
Jen Mintz	F	Sr	6	1	0	1	0.1667	0	0	0	0
Christina Hughes	F	So	23	0	0	0	0.0000	0	0	0	0
Stephanie Evenson	D	Fr	13	0	0	0	0.0000	0	0	0	0
Ashley Owens	F	Fr	23	0	0	0	0.0000	0	0	0	0
Kristin Johnson	G	Fr	3	0	0	0	0.0000	0	0	0	0
Katie Fedoryk	G	So	24	0	0	0	0.0000	0	0	0	0
Laura Hind	G	Fr	2	0	0	0	0.0000	0	0	0	0
Lisa Knutson	D	Jr	8	0	0	0	0.0000	0	0	0	0
Alison Connor	D	So	1	0	0	0	0.0000	0	0	0	0
