Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jess Olson	F/D	Sr	25	7	3	10	0.4000	17	34	0	2	0	0
Kali Holst	F	So	25	5	5	10	0.4000	10	20	1	4	0	0
Andrea Toft	F/D	Sr	23	4	2	6	0.2609	7	14	0	2	0	0
Sara Toft	F	Sr	25	4	1	5	0.2000	14	28	0	1	0	0
Erin Leyden	F	Jr	25	2	3	5	0.2000	0	0	0	0	0	0
Devon Ellena	F	Fr	21	0	5	5	0.2381	6	12	0	0	0	0
Whitney Restemayer	F	Sr	25	2	2	4	0.1600	24	56	0	1	0	0
Jessica Larkin	F	Fr	25	1	3	4	0.1600	2	4	0	0	0	0
Jenna Knudtson	F	Jr	25	1	3	4	0.1600	2	4	0	0	0	0
Kressi Lehn	F	Fr	25	0	4	4	0.1600	7	17	0	0	0	0
Jeanna Dudley	D	Fr	22	1	2	3	0.1364	8	16	0	0	0	0
Erica Berthold	D/F	Fr	19	1	2	3	0.1579	1	2	0	0	0	0
Katie Lamirande	D	Fr	12	2	0	2	0.1667	2	4	1	1	0	0
Elise Hedlund	F/D	Jr	25	1	1	2	0.0800	2	4	0	0	0	0
Whitney Pratt	D/F	Jr	11	1	1	2	0.1818	1	2	0	0	0	0
Sandra Hinz	D	Fr	16	1	1	2	0.1250	7	14	0	1	0	0
Abbie Hawthorne	F	Fr	18	1	0	1	0.0556	1	2	0	0	0	0
Brya Erickson	D	Jr	18	0	1	1	0.0556	9	18	0	0	0	0
Amy Wenzel	F	Fr	2	0	1	1	0.5000	0	0	0	0	0	0
Toni Menth	G	Sr	21	0	0	0	0.0000	2	4	0	0	0	0
Hillary Volkman	F/D	Jr	6	0	0	0	0.0000	2	4	0	0	0	0
Jess Geisinger	D	Fr	13	0	0	0	0.0000	7	14	0	0	0	0
Carly Facchini	F	Jr	10	0	0	0	0.0000	0	0	0	0	0	0
Grace Edgar	G	Jr	6	0	0	0	0.0000	0	0	0	0	0	0
Carissa Miller	F	Fr	13	0	0	0	0.0000	2	4	0	0	0	0
Allix Bell	D	Fr	8	0	0	0	0.0000	3	6	0	0	0	0
