Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Megan Johnson	F	Fr	26	11	7	18	0.6923	9	18	3	3	1	1
Kayla Fuechtmann	F	Sr	26	11	7	18	0.6923	5	10	2	3	1	1
Callen Naasz	F	Jr	26	6	11	17	0.6538	10	20	2	2	0	0
Darby Lindgren	F	Jr	26	8	7	15	0.5769	12	24	1	2	0	0
Valerie Whichello	D	Fr	26	5	10	15	0.5769	3	6	2	1	0	0
Claire Cripps	F	Sr	26	4	11	15	0.5769	8	16	0	1	0	0
Ashley Kloncz	F	Jr	26	5	6	11	0.4231	2	4	0	2	0	0
Brenna Nakonechny	D	Sr	26	3	8	11	0.4231	8	16	1	2	0	0
Danielle Heitkamp	D	Jr	26	4	5	9	0.3462	8	16	1	1	0	0
Sarah Buckner	D	Sr	26	1	6	7	0.2692	4	8	0	1	0	0
Megan Robertson	F	So	23	2	3	5	0.2174	11	22	1	0	0	0
Taral Clayton	D	So	26	0	5	5	0.1923	9	18	0	0	0	0
Bridget Walter	F	Fr	26	4	0	4	0.1538	5	10	0	0	0	0
Abigail Dickinson	D	Sr	26	0	3	3	0.1154	2	4	0	0	0	0
Jacie Hoehn	F	Fr	23	0	1	1	0.0435	5	10	0	0	0	0
Savannah Seeger	F	Jr	23	0	1	1	0.0435	0	0	0	0	0	0
McKenna Manalli	G	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Kealie Espinda Banick	D	Fr	10	0	0	0	0.0000	0	0	0	0	0	0
Megan Bergland	F	Sr	22	0	0	0	0.0000	0	0	0	0	0	0
Rebecca Sonnek	G	So	3	0	0	0	0.0000	0	0	0	0	0	0
Erika Allen	G	Sr	23	0	0	0	0.0000	0	0	0	0	0	0
Bailey Beane	F	Fr	26	0	0	0	0.0000	0	0	0	0	0	0
