Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Gina Beth Manganiello	F	Fr	26	14	11	25	0.9615	4	8	1	0	1	0
Claudia Gee	F	Fr	26	7	9	16	0.6154	17	34	1	2	0	0
Brittany Aiello	F	Fr	26	7	8	15	0.5769	10	20	1	3	0	0
Bailey Coons	F	Fr	26	9	5	14	0.5385	16	32	1	1	0	0
Michaela Martin	F	Fr	26	3	9	12	0.4615	12	24	0	1	1	0
Ann Marie Manganiello	F/D	Fr	24	4	5	9	0.3750	5	10	0	1	0	1
Rachel Pitcher	F/D	Fr	26	2	6	8	0.3077	14	28	1	0	1	0
Hannah Elmer	D	Fr	25	1	6	7	0.2800	5	10	0	0	0	0
Elysabeth Jefferies	D	Fr	24	3	3	6	0.2500	11	22	0	2	0	0
Nikolle Storey	D	Fr	25	1	5	6	0.2400	9	21	1	0	0	0
Emily Dennee	D	Fr	24	1	4	5	0.2083	3	6	0	1	0	0
Sarah McSweeney	F	Fr	24	1	2	3	0.1250	3	6	0	0	0	0
Anastasia Thompson	F	Fr	24	1	1	2	0.0833	1	2	0	0	0	0
Catherine McShera	F	Fr	26	1	1	2	0.0769	2	4	0	0	1	0
Alyssa Cangemi	F	Fr	10	0	0	0	0.0000	0	0	0	0	0	0
Madison Rigsby	G	Fr	17	0	0	0	0.0000	2	4	0	0	0	0
Julia Johnson	G	Fr	10	0	0	0	0.0000	0	0	0	0	0	0
