Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kelly Hart	F	Sr	36	7	14	21	0.5833	1	3	1	0
Kate Robinson	C	Sr	36	8	9	17	0.4722	1	2	0	1
Nikki Eckebrecht	C	Sr	35	4	12	16	0.4571	1	1	0	0
Helena Tageson	F	Sr	32	9	5	14	0.4375	1	2	0	1
Jenn Sadler	F	Sr	35	9	5	14	0.4000	1	1	0	0
Tara Hiscock	F	Jr	36	8	3	11	0.3056	3	3	1	0
Haley Balcom	D	Jr	36	2	6	8	0.2222	0	0	0	0
Mandy Bambrough	D	Sr	36	2	5	7	0.1944	0	0	0	0
Jessica Pullar	F	Jr	34	2	4	6	0.1765	1	0	0	0
Nina Ziegenhals	D	Sr	19	2	4	6	0.3158	0	1	0	0
Lisa Kissick	F	So	32	2	3	5	0.1563	0	0	0	0
Ashley Leopold	D	So	35	2	3	5	0.1429	1	1	0	0
Frances Dorr	F	Fr	29	3	1	4	0.1379	1	2	0	0
Brooke Collins	D	So	36	1	3	4	0.1111	0	1	0	0
Monica Rawlings	F	So	35	2	1	3	0.0857	0	0	0	0
Jessica Tyra	F	So	19	1	2	3	0.1579	0	0	0	0
Jaime LeDuc	F	Jr	35	0	3	3	0.0857	0	0	0	0
Nicole Rawlings	F	Fr	32	1	1	2	0.0625	0	0	0	0
Kailee Jaeger	F	Fr	4	1	0	1	0.2500	0	0	0	0
Wendy Bergh	D	So	21	0	1	1	0.0476	0	0	0	0
Casey Irving	D	Fr	1	0	0	0	0.0000	0	0	0	0
Jackie Robertson	D	Fr	34	0	0	0	0.0000	0	0	0	0
Emily Brookshaw	G	Jr	35	0	0	0	0.0000	0	0	0	0
Jessica Ptachick	G	Fr	4	0	0	0	0.0000	0	0	0	0
