Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Erin Cody	F	So	36	12	16	28	0.7778	16	35	2	5	2	0
Erin Johnson	F	So	36	10	11	21	0.5833	0	0	1	5	1	0
Annie Bauerfeld	F	So	36	8	13	21	0.5833	9	18	1	1	1	0
Montana Vichorek	D	Fr	36	3	10	13	0.3611	18	36	0	2	0	0
Kaylee Keys	F	Fr	36	4	5	9	0.2500	17	34	1	0	0	1
Marlee Wheelhouse	F	Fr	36	3	5	8	0.2222	20	40	0	2	0	0
Erin Babineau	F	Fr	36	3	3	6	0.1667	6	12	1	2	0	0
Frances Dorr	F	Jr	36	2	4	6	0.1667	19	38	0	0	0	0
Ashley Leopold	D	Sr	36	0	6	6	0.1667	14	28	0	0	0	0
Nicole Rawlings	F	Jr	36	2	2	4	0.1111	7	14	0	0	0	0
Jackie Robertson	D	Jr	36	1	3	4	0.1111	33	66	0	1	0	0
Brooke Collins	D	Sr	36	1	3	4	0.1111	27	54	0	0	0	0
Lexy Parenteau	D	Jr	36	1	3	4	0.1111	0	0	0	0	0	0
Carissa Ketcher	F	So	21	1	1	2	0.0952	0	0	0	0	0	0
Emily Erickson	F	Fr	5	0	2	2	0.4000	0	0	0	0	0	0
Kimberly Lieder	F/D	Fr	33	0	2	2	0.0606	4	8	0	0	0	0
Lauren Williams	F	Fr	35	0	1	1	0.0286	13	37	0	0	0	0
Eva Schwaerzler	F	So	10	0	0	0	0.0000	1	2	0	0	0	0
Brittany DeBoer	D	Fr	32	0	0	0	0.0000	1	2	0	0	0	0
Monica Rawlings	F	Sr	35	0	0	0	0.0000	0	0	0	0	0	0
Alana McElhinney	G	Fr	7	0	0	0	0.0000	0	0	0	0	0	0
Zuzana Tomcikova	G	Fr	31	0	0	0	0.0000	0	0	0	0	0	0
