Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kaitlyn Tougas	F	So	35	8	14	22	0.6286	9	29	1	0	3	1
Tess Dusik	F	Sr	36	7	8	15	0.4167	11	33	1	0	2	0
Ivana Bilic	D	So	30	3	10	13	0.4333	13	37	1	3	0	0
Kristine Grenier	F	Jr	36	8	4	12	0.3333	15	30	3	3	0	0
Alexandria Citrowske	F	Jr	35	5	7	12	0.3429	18	47	0	0	0	1
Rachael Kelly	F	Jr	30	7	4	11	0.3667	15	41	1	5	0	0
Hanna Moher	F	So	36	7	4	11	0.3056	3	6	2	2	1	0
Lauren Miller	F	Fr	32	4	6	10	0.3125	27	76	0	1	0	0
Madison Hutchinson	D	Fr	34	0	10	10	0.2941	5	10	0	0	0	0
Stephanie Anderson	F	So	33	5	3	8	0.2424	12	35	1	1	1	0
Allie Duellman	D	Sr	36	4	4	8	0.2222	6	12	0	1	0	0
Whitney Wivoda	F	Jr	36	3	5	8	0.2222	2	4	0	0	0	0
Alex Ehlert	D	Sr	35	0	5	5	0.1429	17	45	0	0	0	0
Danielle Williams	D/F	Sr	35	1	3	4	0.1143	2	4	1	0	0	0
Jenessa Philipczyk	F	Jr	34	2	0	2	0.0588	5	10	0	0	0	0
Megan Lushanko	F	So	23	0	2	2	0.0870	2	4	0	0	0	0
Carley Esse	D	Fr	27	0	1	1	0.0370	1	2	0	0	0	0
Brittni Mowat	G	Fr	33	0	1	1	0.0303	0	0	0	0	0	0
Emily McKnight	F	Sr	36	0	0	0	0.0000	4	8	0	0	0	0
Kenzie Menzak	D	So	2	0	0	0	0.0000	0	0	0	0	0	0
Jessica Havel	G	Sr	6	0	0	0	0.0000	0	0	0	0	0	0
Kayleigh Chapman	D	Jr	31	0	0	0	0.0000	6	23	0	0	0	0
