Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Lisa Kinney	F	So	23	9	6	15	0.6522	1	4	0	1
Heidi Govednik	F/D	So	22	7	4	11	0.5000	0	2	0	0
Kim Toter	F	Jr	17	4	6	10	0.5882	1	0	0	0
Elicia Shepard	F	So	19	2	6	8	0.4211	2	0	0	0
Julien Olson	D	Fr	23	2	6	8	0.3478	0	0	0	0
Stephanie Williams	F	Jr	21	5	0	5	0.2381	3	1	0	0
Anne Gilbertson	F	So	22	4	1	5	0.2273	0	0	0	0
Cassandra Barton	F	Fr	22	3	2	5	0.2273	1	0	0	0
Tamara Trenter	D	Fr	22	3	1	4	0.1818	1	0	0	0
Amy Stroman	F/D	Fr	23	0	4	4	0.1739	0	0	0	0
Sarah Worch	D	Fr	23	2	0	2	0.0870	0	1	1	0
Theresa Cunningham	D	Sr	22	0	2	2	0.0909	0	0	0	0
Danielle Molin	D	Fr	23	0	1	1	0.0435	0	0	0	0
Jessica Kuehn	F	Fr	14	0	0	0	0.0000	0	0	0	0
Amy Hockett	G	Fr	23	0	0	0	0.0000	0	0	0	0
Tammy Kravik	D	Jr	8	0	0	0	0.0000	0	0	0	0
Maren Gilbertson	D	Fr	19	0	0	0	0.0000	0	0	0	0
Christina Hoffman	F	Fr	6	0	0	0	0.0000	0	0	0	0
Jean-Marie Paul	D	Fr	22	0	0	0	0.0000	0	0	0	0
Jill Bergstrom	F	Fr	22	0	0	0	0.0000	0	0	0	0
