Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Biz Huss	F	Jr	27	15	14	29	1.0741	12	24	1	9	0	1
Cristina Masten	F	So	27	17	10	27	1.0000	2	4	5	8	1	1
Anna Carlson	D	Sr	27	4	22	26	0.9630	8	16	0	1	0	0
Kalie Johnson	F	Fr	27	11	12	23	0.8519	6	12	2	4	0	0
Rachael Geng	D	Sr	27	5	14	19	0.7037	11	22	0	3	0	0
Kate Wahlin	D	Jr	27	7	4	11	0.4074	9	18	1	1	0	0
Charise Kendrick	F	So	27	6	5	11	0.4074	15	30	1	0	1	0
Sarah Kartak	F	Jr	27	1	6	7	0.2593	3	6	0	0	0	0
Molly Eagles	D	Jr	24	3	2	5	0.2083	7	14	2	1	0	0
Haley Toter	D/F	Sr	22	2	3	5	0.2273	6	12	0	0	0	0
Kaylen Erchul	F	Fr	27	2	2	4	0.1481	4	8	0	0	0	1
Allison Linde	F	So	27	1	3	4	0.1481	3	6	0	0	0	0
Casie Ecklund	D	So	27	1	2	3	0.1111	3	6	0	0	0	0
Melanie Robertson	D	So	27	0	1	1	0.0370	18	36	0	0	0	0
Callie Halverson	F	Fr	26	0	0	0	0.0000	6	12	0	0	0	0
Jess Newstrom	G	Jr	22	0	0	0	0.0000	0	0	0	0	0	0
Nicole Playter	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Missy Vavra	F	Fr	27	0	0	0	0.0000	5	10	0	0	0	0
Michelle Munsterman	F	Fr	27	0	0	0	0.0000	0	0	0	0	0	0
Cali Miller	F	Jr	18	0	0	0	0.0000	1	2	0	0	0	0
Sophie Borgerding	G	So	4	0	0	0	0.0000	0	0	0	0	0	0
