Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kathryn Larson	F	So	28	24	13	37	1.3214	6	12	4	6	2	2
Lindsay Burman	F	Sr	28	10	13	23	0.8214	19	38	1	1	0	0
Caroline Kivisto	F	Jr	28	8	14	22	0.7857	9	18	0	2	0	0
Lauren Kolak	F	So	26	9	12	21	0.8077	10	20	1	1	0	0
Kalie Johnson	F	Sr	28	9	12	21	0.7500	6	12	1	4	0	1
Megan O'Brian	F	So	28	8	9	17	0.6071	16	32	2	1	0	1
Natalie Simons	F	Fr	28	6	9	15	0.5357	4	8	1	2	0	0
Erin Harper	D	Jr	28	2	10	12	0.4286	14	28	0	0	0	0
Briita Nelson	F	Fr	27	2	7	9	0.3333	7	14	1	0	0	0
Wendy Roberts	F	Fr	28	2	4	6	0.2143	3	6	2	0	0	0
Hadley Cookson	F	Jr	28	2	4	6	0.2143	2	4	1	0	0	0
Karly Vohden	D	So	28	0	4	4	0.1429	2	4	0	0	0	0
Jill Larson	F	Jr	28	0	4	4	0.1429	4	8	0	0	0	0
Megan Niblock	D	So	28	1	1	2	0.0714	1	2	1	0	0	0
Megan Nickel	D	Fr	22	1	0	1	0.0455	0	0	0	0	0	0
Beth Tangen	F	Fr	12	1	0	1	0.0833	0	0	0	0	0	0
Jessica Gapinski	F	Jr	18	0	1	1	0.0556	4	8	0	0	0	0
Megan Hansen	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Maggie Straka	G	Fr	8	0	0	0	0.0000	0	0	0	0	0	0
Michelle Klimstra	G	Fr	22	0	0	0	0.0000	0	0	0	0	0	0
Hannah Williams	D	So	22	0	0	0	0.0000	2	4	0	0	0	0
Becca Dilley	D	So	16	0	0	0	0.0000	0	0	0	0	0	0
Kelsey Johnston	D	Jr	22	0	0	0	0.0000	0	0	0	0	0	0
