Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kelli Stack	F	Fr	36	17	37	54	1.5000	4	5	1	0
Allie Thunstrom	F	Fr	36	30	17	47	1.3056	4	5	6	0
Becky Zavisza	F	So	36	19	21	40	1.1111	3	8	0	0
Meghan Fardelmann	F	So	34	24	14	38	1.1176	5	7	4	0
Anna McDonald	F	Fr	31	12	21	33	1.0645	2	2	2	0
Deborah Spillane	F	Jr	31	13	17	30	0.9677	2	2	0	0
Erin Blood	D	Jr	36	1	19	20	0.5556	1	0	0	0
Maggie Taverna	D	So	36	2	17	19	0.5278	1	2	0	0
Megan Keever	F	Fr	18	8	5	13	0.7222	2	2	0	0
Gabrielle Beaudry	D	Fr	34	2	10	12	0.3529	0	1	0	0
Cristin Stuart	D	Jr	36	1	8	9	0.2500	0	0	0	0
Stephanie Olchowski	D	So	36	0	8	8	0.2222	0	0	0	0
Lindsay Wright	F	Jr	36	4	3	7	0.1944	0	0	0	0
Michelle Lombardi	F	Sr	36	2	5	7	0.1944	0	0	0	0
Tracy Johnson	D	Fr	36	0	7	7	0.1944	0	0	0	0
Brie Baskin	D	So	36	3	1	4	0.1111	0	1	0	0
Lauren Wiedmeier	F	So	32	2	1	3	0.0938	0	0	0	0
Lee-J Mirasolo	F	Jr	36	2	0	2	0.0556	0	0	0	0
Molly Schaus	G	Fr	32	0	2	2	0.0625	0	0	0	0
Jessica Wilson	D	Sr	19	1	0	1	0.0526	0	0	0	0
Colleen Harris	F	Jr	6	0	0	0	0.0000	0	0	0	0
Rachel Wedig	D	Jr	11	0	0	0	0.0000	0	0	0	0
Johanna Ellison	G	So	5	0	0	0	0.0000	0	0	0	0
