Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Allie Thunstrom	F	Sr	35	22	7	29	0.8286	8	16	3	3	0	1
Ashley Motherwell	F	Fr	35	5	14	19	0.5429	12	24	1	2	0	0
Mary Restuccia	F	So	32	9	9	18	0.5625	31	73	0	3	1	1
Danielle Welch	C	So	35	9	5	14	0.4000	13	37	3	2	0	0
Blake Bolden	D	Fr	29	4	9	13	0.4483	0	0	0	2	0	0
Caitlin Walsh	F	Fr	35	6	6	12	0.3429	22	44	0	3	0	0
Kristina Brown	F	Fr	34	5	5	10	0.2941	10	20	1	0	0	0
Shannon Webster	F	Sr	35	2	6	8	0.2286	7	14	0	0	0	0
Alison Szlosek	LW	So	35	1	6	7	0.2000	12	24	0	0	0	0
Katelyn Kurth	D	Jr	35	0	5	5	0.1429	18	36	0	0	0	0
Dru Burns	D	Fr	35	0	4	4	0.1143	9	18	0	0	0	0
Laura Hart	F	Jr	35	1	2	3	0.0857	5	10	0	0	0	0
Kristin Regan	D	So	35	0	2	2	0.0571	9	18	0	0	0	0
Andrea Green	F	So	35	0	2	2	0.0571	15	46	0	0	0	0
Corinne Boyles	G	Fr	24	0	1	1	0.0417	0	0	0	0	0	0
Tracy Johnson	D	Sr	35	0	1	1	0.0286	15	30	0	0	0	0
Elizabeth Olchowski	F	Fr	35	0	0	0	0.0000	1	2	0	0	0	0
Kiera Kingston	G	So	14	0	0	0	0.0000	0	0	0	0	0	0
