Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Alex Carpenter	F/C	Fr	35	22	18	40	1.1429	0	0	4	5	3	1
Emily Field	F	Fr	37	13	20	33	0.8919	17	34	4	8	1	0
Ashley Motherwell	F	Jr	37	13	15	28	0.7568	10	20	1	5	0	1
Mary Restuccia	F	Sr	35	5	23	28	0.8000	24	48	1	2	0	0
Taylor Wasylk	F	So	36	14	9	23	0.6389	26	85	2	3	0	1
Blake Bolden	D	Jr	37	9	13	22	0.5946	0	0	3	4	0	0
Danielle Welch	C	Sr	37	11	9	20	0.5405	11	22	3	2	1	0
Emily Pfalzer	D	Fr	37	5	13	18	0.4865	4	8	1	0	0	0
Dru Burns	D	Jr	37	3	15	18	0.4865	7	14	2	1	0	0
Meagan Mangene	D	So	37	2	15	17	0.4595	8	16	0	0	0	0
Jackie Young	D	So	37	6	10	16	0.4324	10	20	1	2	0	0
Kate Leary	F	Fr	37	3	7	10	0.2703	5	10	0	0	0	0
Caitlin Walsh	F	Jr	37	2	5	7	0.1892	10	20	0	0	0	0
Melissa Bizzari	F	So	27	2	4	6	0.2222	7	14	1	0	0	0
Alison Szlosek	LW	Sr	37	1	2	3	0.0811	4	8	1	0	0	0
Kristina Brown	F	Jr	37	0	2	2	0.0541	7	14	0	0	0	0
Andrea Green	F	Sr	37	1	0	1	0.0270	3	6	1	0	0	0
Jessica Martino	D	Sr	35	0	1	1	0.0286	3	6	0	0	0	0
Megan Shea	F	Sr	15	0	0	0	0.0000	1	2	0	0	0	0
Kristin Regan	D	Sr	1	0	0	0	0.0000	0	0	0	0	0	0
Kiera Kingston	G	Sr	2	0	0	0	0.0000	0	0	0	0	0	0
Corinne Boyles	G	Jr	37	0	0	0	0.0000	0	0	0	0	0	0
