Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Melissa Anderson	F	Fr	28	12	22	34	1.2143	2	3	1	0
Erin Seman	F	So	32	19	12	31	0.9688	6	8	0	2
Gina Kearns	F	So	34	14	12	26	0.7647	4	4	1	1
Cara Hendry	F	Sr	32	11	13	24	0.7500	2	5	0	0
Nicki Wiart	F	So	34	12	6	18	0.5294	2	4	0	1
Jonnie Bloemers	F	Fr	34	4	10	14	0.4118	0	1	0	0
Sarah Appleton	D	Fr	34	3	10	13	0.3824	1	2	0	0
Julie Poulin	D	Jr	32	3	9	12	0.3750	1	1	1	2
Caroline Bourdeau	F	So	33	3	5	8	0.2424	0	1	0	0
Amanda Shaw	D	So	34	3	4	7	0.2059	0	1	0	1
Genevieve Laing	F	So	30	2	5	7	0.2333	0	0	0	0
Sarah Russell	F	So	33	1	6	7	0.2121	1	0	0	0
Stephanie Armstrong	F	Jr	32	1	4	5	0.1563	0	0	0	0
Kelley Karnan	F	So	30	2	2	4	0.1333	0	0	0	0
Catherine Foley	D	So	12	1	2	3	0.2500	0	0	0	0
Lynn Hillen	F	Fr	26	1	2	3	0.1154	0	0	0	0
Jenn Arms	D	Fr	27	1	0	1	0.0370	0	0	0	0
Caitlin Reddy	D	So	29	0	0	0	0.0000	0	0	0	0
Sophie Thornton	D	So	23	0	0	0	0.0000	0	0	0	0
Jessica Holt	D	Fr	8	0	0	0	0.0000	0	0	0	0
Allyse Wilcox	G	So	20	0	0	0	0.0000	0	0	0	0
Melissa Tetreau	F/D	Fr	28	0	0	0	0.0000	0	0	0	0
Melissa Haber	G	Fr	15	0	0	0	0.0000	0	0	0	0
Jessica Lortie	F	Sr	7	0	0	0	0.0000	0	0	0	0
