Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jenn Wakefield	F	Jr	34	32	22	54	1.5882	15	30	6	7	2	3
Marie-Philip Poulin	F	Fr	28	24	23	47	1.6786	11	22	3	7	3	1
Jillian Kirchner	F	Sr	38	11	21	32	0.8421	10	20	3	2	0	1
Jenelle Kohanchuk	F	Jr	36	10	21	31	0.8611	15	30	2	3	0	0
Catherine Ward	D	Sr	36	4	27	31	0.8611	9	18	0	1	0	0
Tara Watchorn	D	Jr	31	6	19	25	0.8065	26	52	0	2	1	0
Holly Lorms	F	Sr	38	14	9	23	0.6053	11	22	2	2	0	1
Jill Cardella	F	So	38	6	8	14	0.3684	14	28	4	0	0	0
Kasey Boucher	D	Jr	38	4	10	14	0.3684	2	4	1	2	0	0
Kathryn Miller	D	So	38	4	10	14	0.3684	3	6	0	0	0	0
Carly Warren	D	Jr	38	3	11	14	0.3684	12	24	2	2	0	0
Taylor Holze	F	So	29	4	7	11	0.3793	3	6	1	0	0	0
Louise Warren	F	Fr	38	5	5	10	0.2632	10	20	2	0	0	0
Kaleigh Fratkin	D	Fr	38	1	9	10	0.2632	22	47	0	0	0	0
Lauren Cherewyk	F	Sr	38	2	7	9	0.2368	4	8	1	1	1	0
Meghan Riggs	F	Fr	28	1	1	2	0.0714	2	4	0	0	0	0
Britt Hergesheimer	D	So	36	1	1	2	0.0556	4	8	0	0	0	0
Anya Battaglino	D	Fr	10	0	0	0	0.0000	1	2	0	0	0	0
Kerrin Sperry	G	Fr	28	0	0	0	0.0000	1	2	0	0	0	0
Cristina Wiley	F	So	36	0	0	0	0.0000	1	2	0	0	0	0
Shannon Mahoney	F	So	32	0	0	0	0.0000	1	2	0	0	0	0
Braly Hiller	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Alissa Fromkin	G	So	10	0	0	0	0.0000	0	0	0	0	0	0
Samantha Pulley	F	So	6	0	0	0	0.0000	0	0	0	0	0	0
