Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Marie-Philip Poulin	F	Jr	35	19	36	55	1.5714	9	18	3	4	2	0
Jenelle Kohanchuk	F	Sr	35	25	21	46	1.3143	10	20	3	6	2	0
Isabel Menard	F	Sr	37	16	29	45	1.2162	7	14	6	4	0	0
Sarah Lefort	F	Fr	37	24	19	43	1.1622	28	56	7	6	0	1
Louise Warren	F	Jr	37	15	19	34	0.9189	10	20	2	1	0	0
Kayla Tutino	F	So	37	15	13	28	0.7568	10	20	6	4	0	0
Jill Cardella	F	Sr	37	2	24	26	0.7027	7	14	0	0	0	0
Shannon Doyle	D	Jr	37	6	18	24	0.6486	12	24	0	2	0	0
Kaleigh Fratkin	D	Jr	37	1	16	17	0.4595	26	52	0	0	0	0
Kathryn Miller	D	Sr	37	2	11	13	0.3514	9	18	0	0	0	0
Shannon Stoneburgh	D	So	37	4	8	12	0.3243	24	51	0	0	0	0
Jordan Juron	F	Fr	37	4	4	8	0.2162	2	4	0	2	0	0
Caroline Campbell	D	Jr	33	1	5	6	0.1818	11	22	0	0	0	1
Rebecca Russo	F	Fr	30	1	4	5	0.1667	4	8	0	0	0	0
Dakota Woodworth	F	Fr	37	3	1	4	0.1081	4	8	1	0	0	0
Lillian Ribeirinha-Braga	F	Fr	28	0	4	4	0.1429	3	6	0	0	0	0
Taylor Holze	F	Sr	17	1	0	1	0.0588	2	4	0	0	0	0
Kerrin Sperry	G	Jr	32	0	1	1	0.0313	1	2	0	0	0	0
Alissa Fromkin	G	Sr	8	0	0	0	0.0000	2	4	0	0	0	0
Alexis Woloschuk	D	Fr	5	0	0	0	0.0000	0	0	0	0	0	0
Diana Bennett	D	Fr	4	0	0	0	0.0000	1	2	0	0	0	0
Sarah Bayersdorfer	F	So	26	0	0	0	0.0000	1	2	0	0	0	0
Shannon Mahoney	F	Sr	31	0	0	0	0.0000	2	4	0	0	0	0
Meghan Riggs	F	Jr	2	0	0	0	0.0000	0	0	0	0	0	0
Cristina Wiley	F	Sr	9	0	0	0	0.0000	0	0	0	0	0	0
Britt Hergesheimer	F	Sr	4	0	0	0	0.0000	2	4	0	0	0	0
