Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Shelly Chessie	F	Sr	28	20	31	51	1.8214	4	1	1	1
Marissa O'Neil	F	So	27	18	23	41	1.5185	5	5	0	0
Kirsti Anderson	D	So	28	10	23	33	1.1786	1	2	0	0
Beth Muir	F	Sr	28	18	13	31	1.1071	1	5	0	0
Gillian McDonald	F	Jr	28	16	10	26	0.9286	4	5	3	1
Britney Carr	F	Jr	27	3	18	21	0.7778	2	0	0	0
Rebecca Selden	D	Fr	28	6	9	15	0.5357	1	1	0	0
Cathie Quinlan	D	So	27	5	10	15	0.5556	1	2	0	0
Kelsey Wilcox	F	Fr	28	8	6	14	0.5000	1	1	0	0
Ba Lanoue	F	Sr	24	7	5	12	0.5000	1	0	1	0
Katherine Duglin	D	So	22	7	5	12	0.5455	0	2	0	0
Nicki Young	F	Fr	19	4	8	12	0.6316	0	0	0	0
Leah McClure	D	Sr	27	1	7	8	0.2963	0	0	0	0
Alyson Lizotte	D	Sr	28	2	4	6	0.2143	1	0	0	0
Sadie Wieschhoff	D	Jr	27	2	4	6	0.2222	0	1	0	0
Jen Pelkey	F	Jr	21	2	4	6	0.2857	0	0	0	0
Jess Burke	F	Jr	20	3	1	4	0.2000	1	0	0	0
Monica MacLellan	F	Fr	7	1	3	4	0.5714	0	0	0	0
Kirsten Larson	D	Jr	20	0	3	3	0.1500	0	0	0	0
Jen Crane	F	So	26	0	3	3	0.1154	0	0	0	0
Cat MacEachern	G	Fr	1	0	0	0	0.0000	0	0	0	0
Nathalie Morgan	G	Fr	6	0	0	0	0.0000	0	0	0	0
Francesca Klucevek-Whalen	G	Sr	2	0	0	0	0.0000	0	0	0	0
Emily McKissock	G	Sr	24	0	0	0	0.0000	0	0	0	0
