Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kayte Holtz	F	Jr	26	15	17	32	1.2308	2	4	4	5	0	0
Kim Tess-Wanat	F	Jr	26	14	12	26	1.0000	6	12	4	0	0	0
Dominique Lozzi	F	Sr	26	4	13	17	0.6538	11	22	0	0	1	0
Chelsea MacNeil	F	Fr	26	8	8	16	0.6154	2	4	1	3	0	0
Stephanie Ludy	F	Jr	26	9	5	14	0.5385	7	14	3	2	0	0
Kendra Sweet	D	Sr	26	2	12	14	0.5385	8	16	0	0	0	0
Madeline Lane	D	So	26	3	5	8	0.3077	14	39	0	1	0	0
Emily Tang	D	So	26	2	6	8	0.3077	11	22	0	1	0	0
Mallory Andrews	F	So	26	3	4	7	0.2692	6	12	0	0	1	0
Shelagh Merrill	F	Sr	25	3	4	7	0.2800	8	16	0	1	0	0
Kenzie Novak	F	Jr	26	2	5	7	0.2692	5	10	0	0	0	0
Alexandra Fahey	F	Sr	26	1	6	7	0.2692	10	20	0	1	0	0
Colleen Finnerty	F	Fr	25	4	2	6	0.2400	5	10	0	0	0	0
Maddie Baird	F	Fr	22	1	4	5	0.2273	4	8	0	0	0	0
Gabby Grandin	D	Fr	26	0	4	4	0.1538	8	16	0	0	0	0
Alexandra Chlebeck	F	Sr	2	1	1	2	1.0000	0	0	0	0	0	0
Schuyler Nardelli	F	Fr	26	0	1	1	0.0385	1	2	0	0	0	0
Maura Allen	D	So	16	0	0	0	0.0000	1	2	0	0	0	0
Lauren Pashkowski	D	So	22	0	0	0	0.0000	0	0	0	0	0	0
Sage Santangelo	G	Sr	3	0	0	0	0.0000	0	0	0	0	0	0
Tara Connolly	G	Jr	13	0	0	0	0.0000	2	4	0	0	0	0
Kayla Lessard	G	Jr	11	0	0	0	0.0000	0	0	0	0	0	0
