Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Jessica Link	F	Jr	30	28	20	48	1.6000	3	7	1	0
Keaton Zucker	F	So	31	14	23	37	1.1935	1	4	1	0
Amy McLaughlin	D	Jr	31	6	19	25	0.8065	0	2	1	2
Margaret Ramsay	F	So	31	9	13	22	0.7097	0	1	0	0
Krissy McManus	F	Sr	31	11	10	21	0.6774	2	1	0	0
Katie Guay	F	Jr	31	8	13	21	0.6774	3	1	0	0
Kerry Nugent	F	Jr	31	5	11	16	0.5161	1	1	0	0
Krystal Strassman	F/D	Fr	24	4	10	14	0.5833	1	0	0	0
Kathryn Moos	D	Fr	28	9	4	13	0.4643	4	1	2	0
Myria Heinhuis	D	So	31	1	12	13	0.4194	0	0	0	0
Lindsey Glennon	F	So	31	5	7	12	0.3871	1	0	0	0
Ashlee Drover	D	So	31	3	9	12	0.3871	1	0	0	0
Christine Holdredge	F	Fr	31	2	5	7	0.2258	0	0	0	0
Katie Lafleur	D	Sr	25	1	5	6	0.2400	1	0	0	0
Marguerite McDonald	D	Sr	31	1	4	5	0.1613	0	0	0	0
Kelly Sheridan	F	Sr	30	0	3	3	0.1000	0	0	0	0
Lauren Deeb	D	Fr	20	1	1	2	0.1000	0	0	0	0
Ann Brophy	F/D	Fr	16	0	2	2	0.1250	0	0	0	0
Larissa Ezzio	F	So	7	1	0	1	0.1429	0	0	0	0
Sarah Crowley	F	Sr	19	0	1	1	0.0526	0	0	0	0
Chelsea Loughran	F	Sr	3	0	1	1	0.3333	0	0	0	0
Eliza Lane	D	Fr	14	0	1	1	0.0714	0	0	0	0
Kim Fleet	D	Sr	1	0	0	0	0.0000	0	0	0	0
Jodi Blustin	G	So	1	0	0	0	0.0000	0	0	0	0
Marie-Pier Desbiens	G	Fr	3	0	0	0	0.0000	0	0	0	0
Katie Germain	G	Sr	29	0	0	0	0.0000	0	0	0	0
