Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Hayley Moore	F	So	33	25	18	43	1.3030	5	2	3	0
Keaton Zucker	F	Sr	33	15	18	33	1.0000	1	8	1	0
Margaret Ramsay	F	Sr	33	9	5	14	0.4242	2	3	0	0
Rylee Olewinski	F	So	33	5	9	14	0.4242	2	1	0	0
Kathryn Moos	D	Jr	29	3	11	14	0.4828	1	2	0	0
Myria Heinhuis	D	Sr	33	1	13	14	0.4242	1	0	0	0
Ashlee Drover	D	Sr	33	2	11	13	0.3939	1	1	0	0
Frances Male	F	Fr	33	4	7	11	0.3333	1	2	0	0
Savannah Smith	F	Fr	33	3	7	10	0.3030	0	0	0	0
Lindsey Glennon	F	Sr	20	0	4	4	0.2000	0	0	0	0
Lauren Deeb	D	Jr	29	0	4	4	0.1379	0	0	0	0
Kim McManus	F	Fr	33	2	1	3	0.0909	1	1	0	0
Heather Lane	F/D	So	33	2	0	2	0.0606	0	2	0	0
Merryl Edington-Hryb	F	Fr	33	0	2	2	0.0606	0	0	0	0
Lindsay Wilde	F	Fr	33	0	2	2	0.0606	0	0	0	0
Nicole Stock	G	Fr	11	0	1	1	0.0909	0	0	0	0
Stacy Silverman	G	So	7	0	0	0	0.0000	0	0	0	0
Ann Brophy	F/D	Jr	33	0	0	0	0.0000	0	0	0	0
Emilie Bydwell	D	So	33	0	0	0	0.0000	0	0	0	0
Macey Roberge	D	Fr	13	0	0	0	0.0000	0	0	0	0
Morgan Hanrahan	D	Fr	32	0	0	0	0.0000	0	0	0	0
O'Hara Shipe	G	So	22	0	0	0	0.0000	0	0	0	0
