Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Hayley Moore	F	Sr	29	13	15	28	0.9655	14	28	1	5	0	0
Rylee Olewinski	F	Sr	25	7	9	16	0.6400	24	56	0	4	0	0
Erica Kromm	D	Fr	29	6	8	14	0.4828	24	48	0	5	0	0
Andrea Hunter	F	So	29	5	9	14	0.4828	3	6	1	1	0	0
Sasha Van Muyen	F	So	28	3	9	12	0.4286	22	44	0	0	0	0
Erin Connors	F	So	28	5	4	9	0.3214	8	16	1	1	0	0
Jenny Cedorchuk	D	So	29	2	5	7	0.2414	25	50	0	1	0	0
Savannah Smith	F	Jr	29	1	5	6	0.2069	11	22	1	0	0	0
Nicole Brown	F	So	27	3	2	5	0.1852	1	2	1	1	0	0
Samantha Stortini	D	Fr	29	1	4	5	0.1724	23	46	0	0	0	0
Maggie Suprey	F	Fr	29	1	4	5	0.1724	11	22	0	1	0	0
Frances Male	F	Jr	29	1	3	4	0.1379	3	6	0	0	0	0
Kath Surbey	D	So	27	2	1	3	0.1111	2	4	0	0	0	0
Jaclyn Small	D	Fr	28	1	2	3	0.1071	16	32	0	0	0	0
Heather Lane	F/D	Sr	29	1	1	2	0.0690	0	0	0	0	0	0
Nicole Stock	G	Jr	29	0	1	1	0.0345	2	4	0	0	0	0
Elizabeth Denis	F	So	16	0	0	0	0.0000	1	2	0	0	0	0
Amanda Asay	F	So	19	0	0	0	0.0000	4	8	0	0	0	0
Jenna Dancewicz	F	Fr	26	0	0	0	0.0000	3	6	0	0	0	0
Macie Winship	D	Fr	29	0	0	0	0.0000	10	20	0	0	0	0
Emilie Bydwell	D	Sr	8	0	0	0	0.0000	0	0	0	0	0	0
