Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Emma Wadsworth	F	Jr	23	4	6	10	0.4348	0	1	0	0
Janelle Schmitt	F	Jr	23	6	2	8	0.3478	1	2	0	0
Madeline Loftus	C	Fr	22	7	0	7	0.3182	2	1	0	0
Tara Ostempowski	F	Fr	23	3	4	7	0.3043	0	1	0	0
Kim Costanzo	F	Jr	23	4	2	6	0.2609	1	1	0	0
Carolyn Totaro	D	Sr	23	2	4	6	0.2609	1	0	0	0
Nicole Jewell	D	Fr	23	1	4	5	0.2174	0	0	0	0
Amanda Uschold	F	Fr	23	0	5	5	0.2174	0	0	0	0
Jennifer Downey	F	Jr	23	1	3	4	0.1739	0	0	0	0
Jessica DeCarlo	F	Jr	23	1	2	3	0.1304	0	1	0	0
Jennifer Trees	D	Fr	21	0	3	3	0.1429	0	0	0	0
Kasey Cornwell	D	So	23	0	3	3	0.1304	0	0	0	0
Meri Mooers	F/D	Sr	18	0	1	1	0.0556	0	0	0	0
Missy Dispenza	D	Sr	8	0	0	0	0.0000	0	0	0	0
Robyn Landrigan	G	Fr	3	0	0	0	0.0000	0	0	0	0
Mary Keddie	G	Jr	23	0	0	0	0.0000	0	0	0	0
