Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Courtney Carnes	F	Sr	25	4	11	15	0.6000	17	34	2	2	1	0
Nikki Kirchberger	D	Fr	25	8	3	11	0.4400	16	32	0	1	0	0
Kara Goodwin	F	So	25	6	5	11	0.4400	2	4	1	2	0	0
Melissa Ash	F	Jr	25	4	5	9	0.3600	6	12	2	1	0	0
Rio Flynn	F	Sr	25	3	6	9	0.3600	25	61	1	0	0	0
Jeyna Minnick	F	So	24	4	3	7	0.2917	10	20	0	2	0	0
Tara Boliard	F	Jr	25	2	5	7	0.2800	12	24	0	1	0	0
Lauren Mallo	D	Sr	24	1	6	7	0.2917	20	56	0	0	0	0
Christina Zandri	F	So	25	3	3	6	0.2400	1	2	0	3	0	0
Jen Seguin	D	Sr	22	0	3	3	0.1364	7	14	0	0	0	0
Kendra Peters	D	Fr	23	2	0	2	0.0870	12	24	0	0	0	0
Alison Mish	F	Fr	25	0	2	2	0.0800	4	8	0	0	0	0
Emily Cornett	F	Jr	23	1	0	1	0.0435	18	50	0	0	0	0
Sarah Quigley	G	Fr	9	0	0	0	0.0000	0	0	0	0	0	0
Dakota Broderick	D	Fr	5	0	0	0	0.0000	2	4	0	0	0	0
Jackie Madison	F	Fr	13	0	0	0	0.0000	2	4	0	0	0	0
Jordan Lee	G	Jr	25	0	0	0	0.0000	1	2	0	0	0	0
Emily Wyse	D	Jr	10	0	0	0	0.0000	3	6	0	0	0	0
