Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Tess Adams	F	Fr	20	15	10	25	1.2500	6	12	1	7	0	0
Anna Lagzdiņa	F	Fr	20	6	12	18	0.9000	9	18	1	3	1	0
Rhea Coad	F	Jr	26	7	5	12	0.4615	11	22	1	1	0	0
Jessica Pele	F	Fr	26	6	6	12	0.4615	15	30	2	4	0	0
Logan Conger	F	Fr	22	4	6	10	0.4545	10	20	0	2	0	0
Whitney Bernier	F	Fr	26	5	4	9	0.3462	0	0	0	1	1	0
Noelle Niemiec	D	Fr	26	3	6	9	0.3462	29	66	0	1	0	0
Kat McNeilly	F	Fr	12	4	4	8	0.6667	2	4	0	0	0	0
Reagan Lynn	D	Fr	25	1	6	7	0.2800	23	65	0	1	0	0
Mariah McCue	D	Fr	24	2	3	5	0.2083	8	16	2	0	0	0
Margret Troiano	F	So	24	1	4	5	0.2083	8	16	0	0	1	0
Hannah Brady	D	Fr	25	2	2	4	0.1600	14	28	0	1	0	0
Grace Page	F	Fr	23	1	1	2	0.0870	1	2	0	0	0	0
Sydney Kinder	F/D	Jr	25	1	1	2	0.0800	8	27	0	0	0	0
Emily Dolphin	D	Fr	25	0	2	2	0.0800	8	16	0	0	0	0
Lora Ardoin	F	Jr	20	1	0	1	0.0500	4	8	0	0	0	0
Illie Berisha	G	Fr	15	0	1	1	0.0667	0	0	0	0	0	0
Steph Kushnir	F	Sr	12	0	0	0	0.0000	1	2	0	0	0	0
Amanda Ballestero	F	Fr	19	0	0	0	0.0000	0	0	0	0	0	0
Rebecca DiNardo	G	So	15	0	0	0	0.0000	1	2	0	0	0	0
Alex Bloom	F	Fr	17	0	0	0	0.0000	0	0	0	0	0	0
Abbey Diabo	D	Jr	10	0	0	0	0.0000	4	8	0	0	0	0
Kaylah Menchaca	F	Fr	19	0	0	0	0.0000	4	11	0	0	0	0
Tia Tassava	D	Fr	15	0	0	0	0.0000	0	0	0	0	0	0
