Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Steph Purinton	F	So	25	5	12	17	0.6800	1	2	1	0
Katelyn Greene	F	Fr	24	8	8	16	0.6667	1	3	3	0
Jennifer Saitta	F	Fr	23	8	8	16	0.6957	2	3	0	0
Halley Grabarz	F	Sr	24	7	7	14	0.5833	0	2	0	0
Danielle Woodruff	F	Sr	25	5	7	12	0.4800	0	1	0	0
Kali Gagne	D	So	25	4	5	9	0.3600	1	1	0	0
Kayla Twigge	D	Fr	25	3	5	8	0.3200	1	2	1	0
Kate Coniglio	D	Sr	25	2	3	5	0.2000	1	1	0	0
Kylie Ammel	F	Sr	5	2	3	5	1.0000	0	1	0	0
Ashley Whitehouse	F	Fr	11	1	4	5	0.4545	0	1	0	0
Beth Iamondo	D	So	25	0	4	4	0.1600	0	0	0	0
Connie Wolfe	F	So	9	1	1	2	0.2222	0	0	0	0
Rachel Dunn	G	So	2	0	0	0	0.0000	0	0	0	0
Kaleigh Peterson	F	Fr	5	0	0	0	0.0000	0	0	0	0
Vanessa Carter	G	So	25	0	0	0	0.0000	0	0	0	0
Bailey Emilo	F	Fr	1	0	0	0	0.0000	0	0	0	0
