Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Anna Daniels	F	Jr	28	11	13	24	0.8571	3	9	2	2	2	0
Taylor Steadman	F	Jr	28	9	10	19	0.6786	6	12	3	4	0	0
Brianna Keats	F	Fr	28	9	9	18	0.6429	13	26	2	3	0	0
Lisa Kilroy	F	So	28	7	7	14	0.5000	6	12	0	1	0	0
Lisa Buratynski	D	So	28	1	11	12	0.4286	5	10	1	0	0	0
Molly Howard	F	Sr	28	4	7	11	0.3929	12	24	0	1	0	0
Samantha Pion	D	Jr	28	2	9	11	0.3929	7	14	0	1	0	0
Tori Pizzuto	D/F	Sr	26	7	3	10	0.3846	6	12	1	2	1	0
Rachel Bombardier	F	Jr	28	4	6	10	0.3571	17	34	2	2	0	0
Hannah Rose	D/F	Fr	27	3	7	10	0.3704	5	10	2	0	0	0
Hannah Wright	D	So	26	1	6	7	0.2692	1	2	0	1	0	0
Emily Raber	D	So	28	1	5	6	0.2143	8	16	1	0	0	0
Sabrina Hosner	D	So	27	1	3	4	0.1481	6	12	0	1	0	0
Ashley Pelkey	F	So	28	2	1	3	0.1071	0	0	0	0	0	0
Samantha McNeil	D	Sr	28	1	1	2	0.0714	5	10	0	0	0	0
BriAnna Narodowy	F	Sr	17	1	0	1	0.0588	0	0	0	0	0	0
Alyssa Brandland	F	So	15	1	0	1	0.0667	2	4	0	0	0	0
Candace Seguin	F	Fr	9	0	1	1	0.1111	13	26	0	0	0	0
Sky Brown	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Jessica Spidle	F	Sr	26	0	0	0	0.0000	1	2	0	0	0	0
Rachel Elliott	F	Jr	20	0	0	0	0.0000	0	0	0	0	0	0
Jess Cameron	G	Jr	13	0	0	0	0.0000	0	0	0	0	0	0
Paula Stephens	G	Sr	15	0	0	0	0.0000	0	0	0	0	0	0
Rachael Brazil	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
