Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Lauren Fishman	F	Fr	19	9	2	11	0.5789	0	1	0	0
Lisa Maher	D	Fr	19	3	6	9	0.4737	0	2	0	0
Jennifer Quimby	C	Jr	19	4	3	7	0.3684	0	2	1	0
Krystal Kelly	F	So	19	2	4	6	0.3158	0	1	0	0
Jacqueline Regan	F	Fr	17	0	3	3	0.1765	0	0	0	0
Sarah Wilkie	W	Jr	19	0	2	2	0.1053	0	0	0	0
April Govednik	D	Fr	19	0	2	2	0.1053	0	0	0	0
Sara Mayo	F	So	5	1	0	1	0.2000	0	0	0	0
Brenn Scott	G	Fr	9	0	1	1	0.1111	0	0	0	0
Christine Durham	D	Fr	19	0	1	1	0.0526	0	0	0	0
Sirena Enright	G	Sr	7	0	1	1	0.1429	0	0	0	0
Kate Black	F	Fr	11	0	1	1	0.0909	0	0	0	0
Elizabeth Moritz	G	Fr	1	0	0	0	0.0000	0	0	0	0
Sam Hunt	G	Fr	7	0	0	0	0.0000	0	0	0	0
Christina Kunz	D	Sr	19	0	0	0	0.0000	0	0	0	0
Kristin O'Neill	F/D	So	1	0	0	0	0.0000	0	0	0	0
Andrea Carter	F	Fr	3	0	0	0	0.0000	0	0	0	0
