Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Allison Papko	F	Fr	23	4	3	7	0.3043	13	26	0	1	0	0
Jacqueline Regan	F	So	22	3	4	7	0.3182	1	2	0	0	0	0
Jennifer Quimby	C	Sr	23	2	3	5	0.2174	13	26	1	0	0	0
Lauren Fishman	F	So	23	3	1	4	0.1739	2	4	0	1	0	0
April Govednik	D	So	9	2	2	4	0.4444	2	4	0	1	0	0
Paige Dunlap	F/D	Fr	23	1	3	4	0.1739	9	18	0	0	0	0
Kelsey LaHue	D	Fr	23	3	0	3	0.1304	25	50	0	1	0	0
Alexis Smith	F	Fr	23	3	0	3	0.1304	26	76	0	0	0	0
Christine Durham	D	So	23	0	3	3	0.1304	26	52	0	0	0	0
Katana Bosetti	D	So	18	0	3	3	0.1667	6	12	0	0	0	0
Krystal Kelly	F	Jr	22	0	2	2	0.0909	8	16	0	0	0	0
Kate Black	F	So	17	1	0	1	0.0588	17	34	0	1	0	0
Erika Derr	F	Jr	23	1	0	1	0.0435	0	0	0	0	0	0
Sara Mayo	F	Jr	7	0	1	1	0.1429	0	0	0	0	0	0
Sarah Wilkie	W	Sr	23	0	1	1	0.0435	1	2	0	0	0	0
Katy Stephen	D	Fr	10	0	0	0	0.0000	1	2	0	0	0	0
Sam Hunt	G	So	7	0	0	0	0.0000	0	0	0	0	0	0
Brenn Scott	G	So	18	0	0	0	0.0000	0	0	0	0	0	0
Robyn Goodwin	F	Fr	8	0	0	0	0.0000	2	4	0	0	0	0
