Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kate Allgood	C	So	30	18	15	33	1.1000	5	8	1	0
Ashley Shaidle	LW	Fr	31	16	16	32	1.0323	5	5	2	0
Jill Nolan	C	Fr	30	10	15	25	0.8333	1	1	0	0
Lindsay Williams	LW	Fr	30	12	11	23	0.7667	1	2	1	0
Emma Madigan	RW	Fr	31	9	8	17	0.5484	2	5	0	1
Lauren Lubrano	D	Fr	29	1	13	14	0.4828	1	1	0	0
Kristi Shaw	C	Jr	30	5	2	7	0.2333	0	1	0	0
Melissa Marshall	LW	Fr	29	3	4	7	0.2414	0	1	0	0
Christine Bailkowski	D	Fr	29	1	6	7	0.2414	0	1	0	0
Christine Hurlock	C	Fr	28	2	4	6	0.2143	0	1	0	0
Cortney Bills	RW	Fr	26	2	4	6	0.2308	0	0	0	0
Kim Coates	D	Fr	31	1	5	6	0.1935	0	1	0	0
Brenna Louey	RW	Fr	29	2	3	5	0.1724	0	1	0	0
Carolynn Zidek	RW	Fr	28	3	1	4	0.1429	1	0	0	0
Christina Valesente	D	Fr	28	1	2	3	0.1071	0	0	0	0
Emily Knutson	D	Fr	21	0	3	3	0.1429	0	0	0	0
Rachel Long	F/D	Fr	12	0	2	2	0.1667	0	0	0	0
Cailin O'Hara	LW	Fr	13	0	1	1	0.0769	0	0	0	0
Andrea Maluta	D	Fr	31	0	1	1	0.0323	0	0	0	0
Stephanie Hansen	G	Fr	11	0	0	0	0.0000	0	0	0	0
Kira Hurley	G	Fr	24	0	0	0	0.0000	0	0	0	0
Jessica Finley	G	Fr	4	0	0	0	0.0000	0	0	0	0
