Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Carly Mercer	F	So	37	14	26	40	1.0811	14	28	1	8	0	0
Danielle Skirrow	F	Jr	37	17	12	29	0.7838	8	16	5	10	0	0
Juana Baribeau	F	Sr	37	16	11	27	0.7297	19	38	4	2	1	1
Jamie Lee Rattray	F	So	24	12	15	27	1.1250	7	14	2	3	0	0
Hailey Wood	D	Jr	37	3	21	24	0.6486	14	28	1	3	0	0
Brittany Styner	F	So	37	6	17	23	0.6216	7	14	2	0	0	0
Gabrielle Kosziwka	F	Sr	37	7	11	18	0.4865	6	12	1	2	0	0
Katelyn Ptolemy	D	Sr	37	2	13	15	0.4054	8	16	0	1	0	0
Vanessa Gagnon	F	So	37	4	8	12	0.3243	11	22	1	0	0	0
Danielle Boudreau	D	Sr	37	1	10	11	0.2973	11	22	0	0	0	1
Christine Lambert	F	Fr	32	4	5	9	0.2813	4	8	0	1	0	0
Shelby Nisbet	F	So	37	5	2	7	0.1892	7	14	2	1	0	0
Kali Gillanders	F	Sr	33	1	5	6	0.1818	16	32	0	0	0	0
Daniella Matteucci	D	Fr	36	1	2	3	0.0833	7	14	0	0	0	0
Vanessa Plante	D	So	37	2	0	2	0.0541	11	22	1	0	0	0
Taylor Gedig	D	Fr	37	1	1	2	0.0541	6	12	0	0	0	0
Jennifer Shields	D	Fr	35	0	2	2	0.0571	7	14	0	0	0	0
Erica Howe	G	So	37	0	2	2	0.0541	0	0	0	0	0	0
Amanda Lucky	F	So	35	0	2	2	0.0571	3	6	0	0	0	0
Emily Horn	G	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Brittany Mulligan	F	Sr	1	0	0	0	0.0000	1	2	0	0	0	0
