Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Heather DeVito	F	Fr	21	11	13	24	1.1429	2	2	1	0
Jill Young	D	Jr	21	9	14	23	1.0952	1	1	1	0
Kate Sweeney	F	So	21	6	13	19	0.9048	1	3	0	0
Caitlin Krause	F	Fr	21	9	9	18	0.8571	2	1	0	0
Kelley Jessopp	D	Sr	20	1	11	12	0.6000	1	0	0	0
Carrie Swiderski	F	Sr	21	5	6	11	0.5238	0	1	0	0
Christina Dotchin	D	So	21	4	7	11	0.5238	1	0	0	0
Lauren Gremelspacher	F	Jr	21	5	3	8	0.3810	1	1	0	0
Michele Barmash	F	Fr	21	5	2	7	0.3333	2	2	0	0
Michelle Mancuso	F	Sr	17	2	2	4	0.2353	0	0	0	0
Madeline Mineau	D	Jr	14	2	1	3	0.2143	1	0	0	0
Sasha Schroeder	F	Fr	17	1	2	3	0.1765	0	0	0	0
Jennifer Anderson	D	Fr	21	0	3	3	0.1429	0	0	0	0
Kristin Putnam	D	Fr	18	0	3	3	0.1667	0	0	0	0
Mallory Young	D	Fr	13	2	0	2	0.1538	1	0	0	0
Meghan Barringer	D	Fr	21	2	0	2	0.0952	0	0	0	0
Merrill Hawkins	F	Jr	12	1	1	2	0.1667	0	0	0	0
Sarah Goodrich	F	Fr	14	0	2	2	0.1429	0	0	0	0
Carolyn Lindley	D	Sr	17	1	0	1	0.0588	0	0	0	0
Erin Hill	F	So	9	0	0	0	0.0000	0	0	0	0
Lynn Hasday	G	Fr	18	0	0	0	0.0000	0	0	0	0
Erin Bodner	F	Jr	5	0	0	0	0.0000	0	0	0	0
Sarah Webster	G	Fr	4	0	0	0	0.0000	0	0	0	0
Beth Kittredge	F	So	7	0	0	0	0.0000	0	0	0	0
