Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Samantha Slotnick	F	So	25	6	7	13	0.5200	6	12	1	1	0	0
Lauren Guarente	F	Fr	24	4	3	7	0.2917	9	18	1	1	0	0
Annie Papadellis	F	So	25	4	2	6	0.2400	21	42	0	2	0	0
Meredith Reynolds	F	Jr	25	3	3	6	0.2400	4	8	0	0	0	1
Marissa Simmons	F	Sr	23	1	5	6	0.2609	11	22	1	1	0	0
Caroline Chessare	D	Jr	21	4	1	5	0.2381	4	8	1	0	0	0
Carolyn Fuwa	D	Fr	25	2	3	5	0.2000	7	14	1	1	0	0
Jackie Tavella	D	Fr	25	2	2	4	0.1600	19	38	0	1	0	0
Allyson Kane	D	Jr	25	1	3	4	0.1600	6	12	1	1	0	0
Maddy Borek	F/D	Fr	25	1	2	3	0.1200	4	8	0	0	0	0
Natalie Fischer	F	So	25	1	2	3	0.1200	16	32	0	0	0	0
Jessica Howerton	F	Fr	16	1	2	3	0.1875	6	12	0	0	0	0
Sylvia Xistris	F	So	24	0	3	3	0.1250	2	4	0	0	0	0
Karlyn Donovan	F/D	Fr	25	1	1	2	0.0800	3	6	0	0	0	0
Kathryn Shei	D	Jr	25	1	1	2	0.0800	2	4	0	0	0	0
Jazz Bazinet-Phillips	F	Fr	25	1	0	1	0.0400	4	8	0	0	0	0
Hannah O'Brien	F	Sr	25	0	1	1	0.0400	0	0	0	0	0	0
Torie Palffy	D	So	25	0	1	1	0.0400	0	0	0	0	0	0
Brianne Wheeler	G	So	23	0	0	0	0.0000	0	0	0	0	0	0
Grace Dickinson	G	So	4	0	0	0	0.0000	0	0	0	0	0	0
