Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Sam Hunt	F	Fr	34	16	16	32	0.9412	2	4	3	0
Allison Paiano	F	Sr	34	14	16	30	0.8824	3	4	3	0
Becky Irvine	F	Sr	31	10	17	27	0.8710	1	1	1	0
Tara French	D	Jr	31	2	18	20	0.6452	0	0	0	0
Elin Brown	D	Fr	31	7	7	14	0.4516	3	2	1	0
Carly McNaughton	F	Sr	34	3	10	13	0.3824	1	2	0	0
Kara Leene	F	So	19	10	1	11	0.5789	0	4	1	0
Ashley Bradford	F	Jr	34	3	8	11	0.3235	0	0	0	1
Mallory Johnston	D	So	34	1	8	9	0.2647	0	1	0	0
Cassie Reid	F	So	15	4	4	8	0.5333	2	2	0	0
Kiira Dosdall	D	Fr	32	1	7	8	0.2500	0	1	0	0
Clancy Todd	D	Fr	34	1	5	6	0.1765	0	0	0	0
Ruth Fish	F	Fr	34	5	0	5	0.1471	0	3	0	0
Ashley Johnston	F	Jr	30	2	2	4	0.1333	0	1	0	0
Lisa Dodd	F	Fr	34	0	2	2	0.0588	0	0	0	0
Brook Wheeler	G	Jr	26	0	0	0	0.0000	0	0	0	0
Elayna Hamashuk	G	Fr	9	0	0	0	0.0000	0	0	0	0
Kate Wolgemuth	F	So	31	0	0	0	0.0000	0	0	0	0
Laura Jansen	D	Fr	34	0	0	0	0.0000	0	0	0	0
Melanie Barclay	G	Sr	2	0	0	0	0.0000	0	0	0	0
