Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Katie Stewart	F	Sr	36	24	15	39	1.0833	7	14	3	7	1	0
Evan Minnick	F	Sr	36	10	15	25	0.6944	18	39	1	4	0	0
Brittany Phillips	F	Fr	36	11	9	20	0.5556	32	64	3	3	0	0
Marissa Dombovy	F	Sr	36	6	11	17	0.4722	11	22	2	3	0	0
Hannah Milan	F	Jr	36	4	12	16	0.4444	7	22	1	3	0	0
Jessi Waters	F/D	Jr	36	2	14	16	0.4444	9	18	1	1	0	0
Jordan Brickner	D	Fr	34	6	9	15	0.4412	1	2	0	2	0	0
Beth Rotenberg	F	Sr	36	7	7	14	0.3889	6	12	1	3	0	0
Ali Edell	F/D	Sr	36	3	11	14	0.3889	26	52	0	0	0	0
Jenna Klynstra	F	Fr	36	4	9	13	0.3611	11	22	0	3	0	0
Jacquie Colborne	F	Jr	35	3	4	7	0.2000	11	22	0	0	0	1
Amanda Kirwan	D	So	34	2	4	6	0.1765	2	4	0	0	0	0
Whitney Routman	D	Fr	36	0	4	4	0.1111	10	20	0	0	0	0
Krista Dermott	F	So	33	2	1	3	0.0909	3	6	0	1	0	0
Heidi Peterson	F	So	36	1	2	3	0.0833	2	4	0	0	0	0
Nicole McDonald	F	Sr	35	0	3	3	0.0857	0	0	0	0	0	0
Jessica Hootz	D	Fr	36	1	0	1	0.0278	7	14	0	0	0	0
Kimberly Sass	G	So	12	0	1	1	0.0833	0	0	0	0	0	0
Kristi-Lyn Pollock	D	So	36	0	1	1	0.0278	15	30	0	0	0	0
Lisa Plenderleith	G	Jr	27	0	0	0	0.0000	5	10	0	0	0	0
Jocelyn Yokow	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
