Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Breanne Wilson-Bennett	F	Fr	34	7	11	18	0.5294	9	18	0	0	0	0
Melissa Kueber	F	Sr	34	11	5	16	0.4706	4	8	2	5	0	1
Megan Sullivan	F	Fr	34	9	7	16	0.4706	5	10	1	5	0	0
Miriam Drubel	F	Sr	33	6	8	14	0.4242	9	26	2	1	1	0
Shelby Perry	F	Fr	34	4	9	13	0.3824	8	16	1	2	0	0
Katie Case	D	Sr	34	0	11	11	0.3235	8	16	0	0	0	0
Taylor Craig	F	Sr	30	5	5	10	0.3333	13	26	0	2	0	0
Annika Zalewski	F	Fr	19	3	7	10	0.5263	8	16	1	1	0	0
Nicole Gass	D	Jr	34	1	9	10	0.2941	16	32	0	1	0	0
Kayla Haus	F	So	33	1	5	6	0.1818	7	14	0	0	0	0
Lauren Wildfang	D	Fr	21	3	2	5	0.2381	15	38	0	1	0	0
Hannah Rastrick	D	So	34	1	4	5	0.1471	11	30	0	0	0	0
Katelyn Parker	F	Jr	34	0	4	4	0.1176	8	16	0	0	0	0
Cat Quirion	D	So	34	1	2	3	0.0882	10	20	0	0	0	0
Ellie DeCaprio	F	Fr	33	1	0	1	0.0303	5	10	0	0	0	0
Meghan Brennan	F	So	33	1	0	1	0.0303	7	14	0	0	0	0
Kaila Pinkney	D	Fr	20	0	1	1	0.0500	1	2	0	0	0	0
Annie Roche	F	So	12	0	0	0	0.0000	0	0	0	0	0	0
Ashlynne Rando	G	Jr	26	0	0	0	0.0000	0	0	0	0	0	0
Liz Trautz	F	So	12	0	0	0	0.0000	2	4	0	0	0	0
Susan Allen	G	Sr	2	0	0	0	0.0000	0	0	0	0	0	0
Brittney Brooks	G	Sr	11	0	0	0	0.0000	0	0	0	0	0	0
