Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Lindsay Czarnecki	C	Sr	24	10	8	18	0.7500	0	3	1	0
Ashley Anderson	F	Fr	24	5	6	11	0.4583	2	2	0	0
Miranda Koenig	F	Jr	23	4	7	11	0.4783	0	0	0	0
Hannah Impola	F	So	24	6	3	9	0.3750	0	4	0	0
Paige Stone	F	So	24	7	1	8	0.3333	1	2	0	0
Brandie Dunn	F	So	24	3	5	8	0.3333	1	1	0	0
Rachael Hinrichs	F	Fr	24	2	2	4	0.1667	0	0	0	0
Kristine Ness	F	Fr	24	1	2	3	0.1250	0	0	0	1
Lisa Graham	F	Fr	24	1	2	3	0.1250	0	0	0	0
Kali Palmer	D	Jr	24	1	2	3	0.1250	0	0	0	0
Ceara Bergsrud	D	Fr	24	0	3	3	0.1250	0	0	0	0
Joanna Berringer	D	So	24	0	3	3	0.1250	0	0	0	0
Ryane Miller	F	So	18	0	1	1	0.0556	0	0	0	0
Sam Gunning	D	Jr	24	0	1	1	0.0417	0	0	0	0
Kelly Ping	D	Fr	19	0	0	0	0.0000	0	0	0	0
Marya Losinski	D	So	17	0	0	0	0.0000	0	0	0	0
Missy Dassinger	F	Sr	22	0	0	0	0.0000	0	0	0	0
Haley Haroldson	F	Fr	16	0	0	0	0.0000	0	0	0	0
Jamie Savage	G	Sr	8	0	0	0	0.0000	0	0	0	0
Jenna Johnson	G	Jr	19	0	0	0	0.0000	0	0	0	0
Charity Hartzell	F	Sr	11	0	0	0	0.0000	0	0	0	0
