Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Tori Davis	F	So	27	17	6	23	0.8519	3	6	5	5	1	1
Jess Nelson	F	Jr	27	5	16	21	0.7778	9	18	1	0	0	0
Amber Schaack	F	Jr	26	8	8	16	0.6154	6	12	3	0	1	0
Anna Westmark	F	Sr	27	8	6	14	0.5185	8	16	1	1	1	2
Jessie Kongelf	F	Jr	27	6	6	12	0.4444	9	18	2	3	0	0
Ellen Rethwisch	F	Jr	27	5	5	10	0.3704	3	6	1	0	0	0
Hannah Johnston	D	Sr	27	5	4	9	0.3333	4	8	1	2	0	0
Cassey Petrich	D	Sr	27	4	4	8	0.2963	6	12	0	2	0	0
Morgan Bruns	D	Jr	27	0	7	7	0.2593	3	6	0	0	0	0
Kristin Drechsel	F	Jr	27	2	4	6	0.2222	6	12	0	0	0	0
Andrea Kratzke	F	Sr	27	2	3	5	0.1852	11	33	0	0	0	0
Kayla Nack	F	So	27	2	3	5	0.1852	4	8	0	0	0	1
Chelsey Petrich	F	Jr	27	0	4	4	0.1481	7	14	0	0	0	0
Kara Tupa	F	Fr	6	1	2	3	0.5000	7	14	0	0	0	0
Amelia Amon	D	Fr	24	0	1	1	0.0417	3	6	0	0	0	0
Megan Mazanec	F	Fr	25	0	1	1	0.0400	4	8	0	0	0	0
Sadie Hayes	F	Sr	23	0	1	1	0.0435	1	2	0	0	0	0
Andrea Klug	G	Jr	25	0	0	0	0.0000	0	0	0	0	0	0
Sage Barta	F	Fr	8	0	0	0	0.0000	1	2	0	0	0	0
Emily Goff	D	So	10	0	0	0	0.0000	1	2	0	0	0	0
Kelsie Hopkins	G	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Megan Dondelinger	F	Fr	27	0	0	0	0.0000	0	0	0	0	0	0
Brittany Boss	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
