Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Emily Heckendorf	F	So	25	4	7	11	0.4400	1	2	0	0	0	0
Michelle Musil	F	Fr	24	4	6	10	0.4167	22	44	2	2	0	0
Chelsea Regan	D	Fr	25	3	5	8	0.3200	6	12	0	1	0	0
Erin Grant	F	So	25	4	3	7	0.2800	1	2	1	2	0	0
Katherine Pauletti	F	Fr	25	4	3	7	0.2800	1	2	0	2	0	0
Maxine Blohowiak	F	Jr	25	2	5	7	0.2800	1	2	0	0	0	0
Jenna Brown	F	Fr	25	2	5	7	0.2800	0	0	0	0	0	0
Samantha Reiter	F	So	25	3	3	6	0.2400	19	38	0	0	1	0
Sara Cole	D	Sr	25	2	4	6	0.2400	5	10	1	2	0	0
Olivia Vogel	F	Fr	25	3	2	5	0.2000	2	4	0	2	0	0
Alexis Machuga	F	Fr	25	1	4	5	0.2000	14	28	0	1	0	0
Carly Piras	D	Sr	25	1	1	2	0.0800	3	6	1	0	0	0
Jayda Hoerres	D	Fr	25	0	2	2	0.0800	7	14	0	0	0	0
Hannah Zobel	D	Fr	25	1	0	1	0.0400	11	22	0	0	0	0
Elizabeth Otto	D	So	4	0	1	1	0.2500	0	0	0	0	0	0
Nina Puch	F	Fr	25	0	1	1	0.0400	1	2	0	0	0	0
Kelsey Dupuis	D	So	7	0	0	0	0.0000	0	0	0	0	0	0
Catie O'Connor	F	So	20	0	0	0	0.0000	2	4	0	0	0	0
Kaitlyn Evans	G	So	15	0	0	0	0.0000	0	0	0	0	0	0
Erica Widas	F	Fr	20	0	0	0	0.0000	0	0	0	0	0	0
Megan Williams	F	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Andrea Mizanskey	G	So	5	0	0	0	0.0000	1	2	0	0	0	0
Stephanie Barry	F	So	10	0	0	0	0.0000	0	0	0	0	0	0
Sarah Tollefson	D/F	So	7	0	0	0	0.0000	0	0	0	0	0	0
Hannah Redden	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Jennifer DeGeorge	G	So	10	0	0	0	0.0000	0	0	0	0	0	0
