Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Veronika Metanova	F	Sr	25	12	19	31	1.2400	10	20	2	2	3	0
Brandi Muller	F	Sr	25	9	13	22	0.8800	10	20	3	3	1	0
Lexi Holman	F	Jr	23	11	10	21	0.9130	16	32	3	3	0	0
Kristen Kennedy	F	So	25	8	7	15	0.6000	22	44	0	2	0	0
Ellie Woodman	D	So	25	3	9	12	0.4800	11	22	0	3	0	0
Baylee Darling	D	Sr	25	5	5	10	0.4000	21	45	1	1	0	0
Natasha Wanless	F	Fr	25	3	6	9	0.3600	16	32	0	0	0	0
Jossa Danis	F	So	25	3	1	4	0.1600	7	14	0	1	0	0
Nicole Krumwiede	F	Sr	19	1	3	4	0.2105	4	8	0	1	0	0
Issy Bilton	F	Fr	23	2	1	3	0.1304	1	2	0	0	0	0
Emily Kuhlman	F	So	25	1	1	2	0.0800	3	6	1	0	0	0
Emily Godwin	D	Fr	25	0	2	2	0.0800	7	14	0	0	0	0
Sam Lombardi	D	Fr	25	0	1	1	0.0400	2	4	0	0	0	0
Amanda Curtin	D	Jr	25	0	1	1	0.0400	11	22	0	0	0	0
Brittany Thompson	D	Fr	21	0	1	1	0.0476	0	0	0	0	0	0
Chloe Bachman	F	Jr	25	0	1	1	0.0400	4	8	0	0	0	0
Breanna Thomson	G	Fr	9	0	0	0	0.0000	0	0	0	0	0	0
Christina Pattengale	G	So	16	0	0	0	0.0000	0	0	0	0	0	0
