Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kimberly Berry	F	Fr	35	23	13	36	1.0286	4	7	3	1
Tiffany Owens	F	Fr	35	10	9	19	0.5429	1	3	0	0
Shannon Connolly	F	Fr	35	2	15	17	0.4857	0	0	0	0
Megan McLeod	F	Fr	34	7	9	16	0.4706	1	1	0	0
Laura Stosky	D	Fr	35	5	10	15	0.4286	0	1	0	0
Caitlin Salazer-Reid	D	Fr	35	2	13	15	0.4286	1	2	0	0
Jacquelyn McGuire	F	Fr	35	7	6	13	0.3714	1	4	0	0
Sara Mahoney	F	So	26	6	5	11	0.4231	2	0	0	0
Allison Oropallo	F	Fr	32	3	4	7	0.2188	0	1	0	0
Stefanie Snow	D	So	35	3	4	7	0.2000	0	2	0	0
Julie Marashio	F	So	35	3	3	6	0.1714	1	0	0	0
Erika Spaeth	F/D	Fr	35	2	4	6	0.1714	0	1	0	0
Sarah Clark	F	Fr	32	1	3	4	0.1250	0	0	0	0
Angie Wallace	F	Fr	30	1	2	3	0.1000	0	0	0	0
Kathryn Scott	LW	Fr	11	0	0	0	0.0000	0	0	0	0
Samantha Dexter	G	Fr	6	0	0	0	0.0000	0	0	0	0
Lauren O'Connor	F	Fr	33	0	0	0	0.0000	0	0	0	0
Shannon Murphy	G	Fr	31	0	0	0	0.0000	0	0	0	0
Lisa Beck	D	Fr	35	0	0	0	0.0000	0	0	0	0
