Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kayla Campero	F	So	35	9	9	18	0.5143	14	28	1	1	0	0
Michela Cava	F	Fr	34	10	7	17	0.5000	8	16	2	1	1	0
Sarah MacDonnell	F	So	35	5	11	16	0.4571	12	24	0	3	0	0
Brittany Berisoff	F	Fr	35	7	8	15	0.4286	2	4	0	1	0	0
Rachel Farrel	F	So	35	7	6	13	0.3714	9	18	0	3	0	1
Kelly Horan	F	Sr	30	3	9	12	0.4000	3	6	0	0	0	0
Emily Snodgrass	F	So	35	3	8	11	0.3143	18	47	0	1	0	0
Casey Knajdek	F/D	Sr	35	1	9	10	0.2857	7	14	0	0	0	0
Stephanie Raithby	F	Jr	28	4	4	8	0.2857	3	6	0	0	0	0
Caitlin Hewes	D	So	35	3	5	8	0.2286	7	14	0	2	0	0
Leah Buress	F	Fr	21	2	4	6	0.2857	4	8	0	0	0	0
Maude Blain	D	Sr	35	1	5	6	0.1714	9	18	0	0	0	0
Kiana Nauheim	D	Jr	35	1	4	5	0.1429	8	27	0	0	0	0
Margaret Zimmer	F	Fr	35	2	2	4	0.1143	2	4	0	0	0	0
Alice Hughes	D	Fr	35	0	2	2	0.0571	8	16	0	0	0	0
Cassandra Opela	D	Fr	35	0	0	0	0.0000	0	0	0	0	0	0
Emily Walsh	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Sarah Moses	G	Jr	12	0	0	0	0.0000	0	0	0	0	0	0
Elaine Chuli	G	Fr	27	0	0	0	0.0000	0	0	0	0	0	0
Erin Burns	D	Jr	33	0	0	0	0.0000	13	26	0	0	0	0
