Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kate Reardon	F	So	25	9	6	15	0.6000	1	3	0	1
Laura Gosnell	D	So	25	8	4	12	0.4800	2	2	1	0
Meaghan McLaughlin	F	Fr	25	5	5	10	0.4000	1	0	0	0
Suzie Connor	D	So	25	4	4	8	0.3200	2	2	0	0
Mallory Littman	F	So	25	1	4	5	0.2000	0	0	0	0
Caitlin Sommer	F	So	24	1	3	4	0.1667	1	0	0	0
Bradley Wray	D	Fr	24	0	4	4	0.1667	0	0	0	0
Ali Elkins	D	Jr	25	1	2	3	0.1200	0	1	0	0
Erin Wing	D	So	25	0	3	3	0.1200	0	0	0	0
Katie Roth	F	So	25	1	0	1	0.0400	0	0	0	0
Jen Bogle	F/D	Fr	25	1	0	1	0.0400	0	0	0	0
Britt Appleton	D	Fr	25	0	1	1	0.0400	0	0	0	0
Gabby Petrill	G	So	25	0	1	1	0.0400	0	0	0	0
Janet Hanson	F	Sr	13	0	1	1	0.0769	0	0	0	0
Stephanie Morgan	F	Sr	25	0	1	1	0.0400	0	0	0	0
Beth Landes	F	Sr	17	0	0	0	0.0000	0	0	0	0
Chrissy Nevins-Herbert	G	Sr	2	0	0	0	0.0000	0	0	0	0
Elizabeth Colburn	F	So	25	0	0	0	0.0000	0	0	0	0
Andrea Packard	F	Fr	23	0	0	0	0.0000	0	0	0	0
