Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jordan Cross	F	Fr	26	12	11	23	0.8846	1	2	1	5	0	0
Stephanie Izzi	F	Jr	26	12	11	23	0.8846	0	0	2	3	0	2
Elena Gualtieri	F	Fr	26	10	11	21	0.8077	1	2	4	2	1	0
Julie Beattie	D	Jr	26	8	6	14	0.5385	3	6	2	2	0	0
Paige Michel	D	Fr	26	4	9	13	0.5000	7	14	0	1	0	0
Lily Connolly	F	So	26	5	6	11	0.4231	3	6	1	1	0	1
Ashley Anctil	F	Jr	22	6	4	10	0.4545	2	4	2	1	0	0
Katlyn Paiva	F	So	26	7	2	9	0.3462	5	10	1	0	0	0
Michaela Igo	F	Jr	26	1	6	7	0.2692	11	22	0	0	0	0
Kate Kohl	F	So	22	2	4	6	0.2727	3	6	0	1	0	0
Olivia Good	F	Fr	26	0	6	6	0.2308	3	6	0	0	0	0
Kelley Potter	D	Fr	26	1	3	4	0.1538	4	8	0	0	0	0
Anna Bleck	F	So	26	1	3	4	0.1538	2	4	0	0	0	0
Cassie Hunter	D	Jr	20	0	4	4	0.2000	16	32	0	0	0	0
Lauren Bishop	F	Jr	22	1	2	3	0.1364	2	4	1	0	0	0
Erin Sullivan	D	Jr	6	0	2	2	0.3333	2	4	0	0	0	0
Meghan Lembo	F	So	25	1	0	1	0.0400	4	8	1	0	0	0
Jill Dahrooge	F	Sr	26	1	0	1	0.0385	0	0	0	0	0	0
Isabel Gleekel	D	Fr	13	0	1	1	0.0769	2	4	0	0	0	0
Brette Brier	F	Jr	16	0	0	0	0.0000	0	0	0	0	0	0
Bailey Mertz	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Jackie Clark	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Katherine Chester	G	Jr	23	0	0	0	0.0000	0	0	0	0	0	0
