Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Jenel Bode	F	Sr	28	8	16	24	0.8571	0	0	2	1
Lindsay Murao	F	Jr	26	12	8	20	0.7692	2	3	2	1
Brooke Bestwick	D	Sr	28	8	9	17	0.6071	1	2	0	0
Sarah Olivier	D	Sr	26	8	6	14	0.5385	2	3	0	0
Anita Khar	F	So	28	3	9	12	0.4286	1	1	0	0
Briana Jentner	F/D	So	28	6	5	11	0.3929	1	3	1	2
Erinn Perushek	F	Sr	28	2	8	10	0.3571	1	2	0	0
Pearle Nerenberg	F	Fr	28	3	4	7	0.2500	0	2	0	0
Eva Nahorniak	D	Sr	28	2	5	7	0.2500	0	2	0	0
Erin Ellis	F	Jr	28	2	3	5	0.1786	1	1	0	0
Allison Simpson	F/D	So	27	1	3	4	0.1481	0	0	0	0
Jamie Ramenofsky	D	Fr	27	0	4	4	0.1481	0	0	0	0
Pam Hannah	F	Fr	28	1	0	1	0.0357	0	0	0	0
Lara Kelly	D	Fr	27	0	1	1	0.0370	0	0	0	0
Emilie Nicholas	D	Fr	26	0	0	0	0.0000	0	0	0	0
Lillian Shaller	D	Sr	5	0	0	0	0.0000	0	0	0	0
Sanya Sandahl	G	Jr	14	0	0	0	0.0000	0	0	0	0
Jen Reed	F	Jr	9	0	0	0	0.0000	0	0	0	0
Maryann Nowak	F	Fr	27	0	0	0	0.0000	0	0	0	0
Kelly Pike	C	Jr	20	0	0	0	0.0000	0	0	0	0
Liz Connelly	G	Jr	14	0	0	0	0.0000	0	0	0	0
Sarah Carter	F	So	28	0	0	0	0.0000	0	0	0	0
