Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jillian Saulnier	F	Jr	34	28	28	56	1.6471	17	37	4	4	2	2
Emily Fulton	F	Jr	34	21	22	43	1.2647	12	24	1	7	0	1
Jessica Campbell	F	Sr	33	15	25	40	1.2121	7	14	3	4	0	1
Alyssa Gagliardi	D	Sr	34	8	23	31	0.9118	7	14	2	3	0	0
Cassandra Poudrier	D	So	32	8	19	27	0.8438	28	56	2	5	1	0
Hayleigh Cudmore	D	Sr	34	7	19	26	0.7647	6	12	2	3	1	0
Taylor Woods	F	So	34	9	13	22	0.6471	12	27	2	4	0	0
Hanna Bunton	F	Fr	32	7	10	17	0.5313	5	10	3	0	0	0
Caroline DeBruin	F	Fr	33	3	6	9	0.2727	7	14	0	0	0	0
Anna Zorn	F	So	34	4	4	8	0.2353	3	6	0	1	0	0
Kaitlin Doering	F	Fr	32	3	5	8	0.2500	7	14	2	0	0	0
Monika Leck	F	Jr	24	2	6	8	0.3333	3	6	0	0	0	0
Jess Brown	F	So	30	4	3	7	0.2333	7	14	2	2	0	0
Kelly Murray	F	So	21	1	5	6	0.2857	12	24	1	1	0	0
Morgan Richardson	D	So	34	1	4	5	0.1471	6	12	0	0	0	0
Sydney Smith	D	Fr	34	0	2	2	0.0588	15	30	0	0	0	0
Lauren Slebodnick	G	Sr	24	0	2	2	0.0833	0	0	0	0	0	0
Paula Voorheis	G	Fr	14	0	0	0	0.0000	0	0	0	0	0	0
Stefannie Moak	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Victoria Pittens	F	So	12	0	0	0	0.0000	0	0	0	0	0	0
