Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Brianne Jenner	F	Sr	31	15	36	51	1.6452	16	32	4	5	2	0
Emily Fulton	F	Sr	32	21	27	48	1.5000	8	19	2	6	1	2
Jillian Saulnier	F	Sr	28	20	24	44	1.5714	19	38	1	6	1	1
Erin O'Connor	D	Fr	33	7	18	25	0.7576	7	14	2	4	0	0
Jess Brown	F	Jr	31	9	11	20	0.6452	10	20	2	1	0	0
Taylor Woods	F	Jr	33	4	16	20	0.6061	12	24	1	2	0	0
Cassandra Poudrier	D	Jr	33	3	14	17	0.5152	18	36	0	0	0	0
Hanna Bunton	F	So	28	7	7	14	0.5000	5	10	3	2	2	0
Kaitlin Doering	F	So	33	6	8	14	0.4242	12	24	1	0	0	0
Brianna Veerman	F	So	28	3	6	9	0.3214	8	16	0	1	0	0
Sydney Smith	D	So	33	4	3	7	0.2121	14	28	1	0	0	0
Morgan Richardson	D	Jr	33	3	4	7	0.2121	21	42	0	0	0	0
Anna Zorn	F	Jr	25	2	3	5	0.2000	7	14	1	1	0	0
Sarah Knee	D	Fr	33	2	3	5	0.1515	5	10	0	1	0	0
Caroline DeBruin	F	So	33	1	3	4	0.1212	9	18	1	0	0	0
Morgan McKim	F	Fr	23	1	1	2	0.0870	1	2	0	0	0	0
Paula Voorheis	G	So	31	0	0	0	0.0000	0	0	0	0	0	0
Amelia Boughn	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
Stefannie Moak	G	Jr	1	0	0	0	0.0000	0	0	0	0	0	0
