Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Heather Crowley	F	Fr	22	8	15	23	1.0455	2	2	0	0
Dani Blanchard	F	Sr	23	7	9	16	0.6957	1	3	0	0
Judy Ellis	F	Jr	23	5	8	13	0.5652	0	1	0	0
Cailin O'Hara	F	Jr	23	7	5	12	0.5217	1	5	0	0
Tricia Silvestri	F/D	So	23	8	3	11	0.4783	1	1	0	0
Erin Fleury	F	So	23	5	6	11	0.4783	1	1	0	0
Lindsay Weinstein	D	Jr	23	2	7	9	0.3913	0	0	0	0
Ashley Meyers	D	Fr	23	2	5	7	0.3043	0	0	0	0
Julia Pahler	D	So	23	2	5	7	0.3043	0	1	0	0
Kelly Crumb	F	So	23	2	4	6	0.2609	0	0	0	0
Dusti Sheley	D	So	23	1	5	6	0.2609	0	0	0	0
Daryl Pace	F	Jr	21	4	1	5	0.2381	1	0	0	0
Janie Byrd	D	So	23	2	3	5	0.2174	0	1	0	0
Kate Ciraulo	F	Sr	22	1	4	5	0.2273	0	0	0	0
Maggie Welker	D	Fr	15	0	4	4	0.2667	0	0	0	0
Abby Graves	F	Fr	23	2	1	3	0.1304	0	0	0	0
Julie Freeland	F	Fr	18	1	2	3	0.1667	0	0	0	0
Kalee Stoever	F	Fr	15	2	0	2	0.1333	0	0	0	0
Melissa Stern	G	Fr	3	0	0	0	0.0000	0	0	0	0
Tiffany Wixom	G	So	14	0	0	0	0.0000	0	0	0	0
Olivia Nuzzo	G	So	6	0	0	0	0.0000	0	0	0	0
