Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Maggie Giamo	F	Jr	24	4	6	10	0.4167	12	24	1	2	0	0
Gina Tomei	F	Fr	21	3	5	8	0.3810	3	6	0	1	0	0
Chelsey Wright	F	So	23	4	3	7	0.3043	9	18	0	0	0	0
Taylor Puckhaber	F	So	19	2	5	7	0.3684	5	10	1	1	0	0
Kellie Micillo	F	So	22	2	5	7	0.3182	5	13	0	1	0	1
Ashley Meyer	F	Jr	20	4	1	5	0.2500	5	10	0	1	0	0
Shannon Hakes	F	Sr	23	3	2	5	0.2174	1	2	0	0	1	0
Cara Latchum	D	So	24	1	4	5	0.2083	4	8	0	0	0	1
Jenn Fitzgerald	F	Fr	18	2	2	4	0.2222	4	8	0	0	0	0
Allie Beall	F	Fr	23	2	2	4	0.1739	0	0	1	0	0	0
Amanda Maddalena	F	Jr	24	2	2	4	0.1667	2	4	0	0	0	0
Jen Whelan	D	Jr	23	0	4	4	0.1739	14	28	0	0	0	0
Julia Fleming	F	Jr	21	2	1	3	0.1429	4	8	0	2	0	0
Erika Osborne	D	So	20	1	2	3	0.1500	6	12	1	1	0	0
Kelsey Shares	F	Fr	8	1	2	3	0.3750	3	6	0	0	0	0
Charlotte Carter	F	Fr	13	1	1	2	0.1538	1	2	0	0	0	0
Brianna Rossi	F	So	23	0	2	2	0.0870	7	17	0	0	0	0
Gwen Paul	D	Fr	22	0	2	2	0.0909	5	10	0	0	0	0
Pam Murphy	F/D	Jr	20	0	1	1	0.0500	5	10	0	0	0	0
Sara Beckstead	D	Fr	6	0	0	0	0.0000	1	2	0	0	0	0
Julia Rapp	D	So	10	0	0	0	0.0000	5	10	0	0	0	0
Emily Foss	D	Fr	14	0	0	0	0.0000	1	2	0	0	0	0
Katie Double	G	Jr	15	0	0	0	0.0000	0	0	0	0	0	0
Sarah Ribarich	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
Meghan Ward	F	Sr	7	0	0	0	0.0000	0	0	0	0	0	0
Jordan Baum	F	So	4	0	0	0	0.0000	0	0	0	0	0	0
Sarah Sitcov	G	So	9	0	0	0	0.0000	0	0	0	0	0	0
