"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","GWG","PPG","SHG","ENG","Season","Team"
"Lisa Kinney","F","So","23","9","6","15","0.6522","1","4","0","1","2003-2004","bethel"
"Heidi Govednik","F/D","So","22","7","4","11","0.5000","0","2","0","0","2003-2004","bethel"
"Kim Toter","F","Jr","17","4","6","10","0.5882","1","0","0","0","2003-2004","bethel"
"Elicia Shepard","F","So","19","2","6","8","0.4211","2","0","0","0","2003-2004","bethel"
"Julien Olson","D","Fr","23","2","6","8","0.3478","0","0","0","0","2003-2004","bethel"
"Stephanie Williams","F","Jr","21","5","0","5","0.2381","3","1","0","0","2003-2004","bethel"
"Anne Gilbertson","F","So","22","4","1","5","0.2273","0","0","0","0","2003-2004","bethel"
"Cassandra Barton","F","Fr","22","3","2","5","0.2273","1","0","0","0","2003-2004","bethel"
"Tamara Trenter","D","Fr","22","3","1","4","0.1818","1","0","0","0","2003-2004","bethel"
"Amy Stroman","F/D","Fr","23","0","4","4","0.1739","0","0","0","0","2003-2004","bethel"
"Sarah Worch","D","Fr","23","2","0","2","0.0870","0","1","1","0","2003-2004","bethel"
"Theresa Cunningham","D","Sr","22","0","2","2","0.0909","0","0","0","0","2003-2004","bethel"
"Danielle Molin","D","Fr","23","0","1","1","0.0435","0","0","0","0","2003-2004","bethel"
"Jessica Kuehn","F","Fr","14","0","0","0","0.0000","0","0","0","0","2003-2004","bethel"
"Amy Hockett","G","Fr","23","0","0","0","0.0000","0","0","0","0","2003-2004","bethel"
"Tammy Kravik","D","Jr","8","0","0","0","0.0000","0","0","0","0","2003-2004","bethel"
"Maren Gilbertson","D","Fr","19","0","0","0","0.0000","0","0","0","0","2003-2004","bethel"
"Christina Hoffman","F","Fr","6","0","0","0","0.0000","0","0","0","0","2003-2004","bethel"
"Jean-Marie Paul","D","Fr","22","0","0","0","0.0000","0","0","0","0","2003-2004","bethel"
"Jill Bergstrom","F","Fr","22","0","0","0","0.0000","0","0","0","0","2003-2004","bethel"
"Annie Annunziato","F","Sr","27","17","19","36","1.3333","1","7","0","0","2003-2004","augsburg"
"Stacy Anderson","F","Fr","27","16","18","34","1.2593","5","4","0","0","2003-2004","augsburg"
"Lauren Chezick","F","Jr","27","15","19","34","1.2593","1","5","0","0","2003-2004","augsburg"
"Kristin Murr","F","Fr","24","12","4","16","0.6667","3","1","0","1","2003-2004","augsburg"
"Melynda Kleewein","D","Jr","27","1","13","14","0.5185","1","0","0","0","2003-2004","augsburg"
"Corrie Krzyska","F","Jr","27","5","8","13","0.4815","1","1","0","0","2003-2004","augsburg"
"Carrie Velenchenko","F","Jr","27","4","8","12","0.4444","0","1","0","0","2003-2004","augsburg"
"Britt Pennington","D","Fr","26","2","7","9","0.3462","0","1","0","0","2003-2004","augsburg"
"Jana Ford","F","Jr","27","5","2","7","0.2593","1","0","0","0","2003-2004","augsburg"
"Christina Hughes","F","Sr","27","3","4","7","0.2593","1","0","0","0","2003-2004","augsburg"
"Dottie Gilkerson","F","Sr","27","2","5","7","0.2593","0","0","0","0","2003-2004","augsburg"
"Laura Prasek","D","Jr","26","2","4","6","0.2308","0","0","0","0","2003-2004","augsburg"
"Calla Lundquist","D","So","27","2","3","5","0.1852","1","0","0","0","2003-2004","augsburg"
"Genevieve Allegrezza","F","Sr","12","2","3","5","0.4167","0","1","0","0","2003-2004","augsburg"
"Laura Hoffman","D","Sr","24","0","4","4","0.1667","0","0","0","0","2003-2004","augsburg"
"Angela Bergeson","F","So","6","0","0","0","0.0000","0","0","0","0","2003-2004","augsburg"
"Lenia Burrows","D","Fr","26","0","0","0","0.0000","0","0","0","0","2003-2004","augsburg"
"Marrissa Henry-Mashuga","D","Fr","20","0","0","0","0.0000","0","0","0","0","2003-2004","augsburg"
"Katie Fedoryk","G","Sr","13","0","0","0","0.0000","0","0","0","0","2003-2004","augsburg"
"Megan Peterson","F","Jr","2","0","0","0","0.0000","0","0","0","0","2003-2004","augsburg"
"Kristin Johnson","G","Jr","14","0","0","0","0.0000","0","0","0","0","2003-2004","augsburg"
"Renee Sisti","F","So","25","14","12","26","1.0400","3","4","1","1","2003-2004","amherst"
"Alison White","F","Sr","25","11","12","23","0.9200","1","1","0","0","2003-2004","amherst"
"Rachel Simon","F","Fr","24","14","8","22","0.9167","3","3","0","0","2003-2004","amherst"
"Alena Harrison","F","Fr","23","8","10","18","0.7826","0","0","0","0","2003-2004","amherst"
"Meghan Dickoff","D","Fr","25","5","9","14","0.5600","2","3","0","0","2003-2004","amherst"
"Leah Kaplan","F","So","25","7","5","12","0.4800","2","0","0","0","2003-2004","amherst"
"Tory Serues","F","Sr","25","2","10","12","0.4800","0","0","0","0","2003-2004","amherst"
"Amanda Mattei","D","So","25","1","8","9","0.3600","0","1","0","0","2003-2004","amherst"
"Emily Cronin","D","Fr","24","6","2","8","0.3333","2","1","0","0","2003-2004","amherst"
"Tes Siarnacki","D","Fr","18","1","6","7","0.3889","0","0","0","0","2003-2004","amherst"
"Alicia Pichard","D","Jr","25","2","4","6","0.2400","0","0","0","0","2003-2004","amherst"
"Kirsten Forsberg","D","Fr","24","2","4","6","0.2500","0","0","0","0","2003-2004","amherst"
"Sarah Mason","D","Jr","25","0","5","5","0.2000","0","0","0","0","2003-2004","amherst"
"Amanda Muller","D","Sr","25","0","3","3","0.1200","0","0","0","0","2003-2004","amherst"
"Elissa Landes","F/D","Sr","22","2","0","2","0.0909","0","0","0","0","2003-2004","amherst"
"Bethany Croy","D","So","24","0","1","1","0.0417","0","0","0","0","2003-2004","amherst"
"Annie Grabowski","F","Jr","9","0","1","1","0.1111","0","0","0","0","2003-2004","amherst"
"Ellie Roe","F","Jr","16","0","0","0","0.0000","0","0","0","0","2003-2004","amherst"
"Katie Potter","G","Sr","1","0","0","0","0.0000","0","0","0","0","2003-2004","amherst"
"Lindsay Grabowski","G","Fr","25","0","0","0","0.0000","0","0","0","0","2003-2004","amherst"
"Lauren Caldwell","D","Jr","6","0","0","0","0.0000","0","0","0","0","2003-2004","amherst"
"Jess Matthews","F","So","17","0","0","0","0.0000","0","0","0","0","2003-2004","amherst"
"Kelly Hart","F","Fr","34","10","10","20","0.5882","2","3","0","0","2003-2004","bemidji-state"
"Kate Robinson","C","Fr","34","6","5","11","0.3235","1","3","0","0","2003-2004","bemidji-state"
"Nikki Eckebrecht","C","Fr","34","5","5","10","0.2941","0","1","1","1","2003-2004","bemidji-state"
"Carly Napier","F","So","34","5","5","10","0.2941","0","2","0","0","2003-2004","bemidji-state"
"Helena Tageson","F","Fr","31","4","6","10","0.3226","0","1","1","0","2003-2004","bemidji-state"
"Jenny Schnickel","D","Jr","34","4","5","9","0.2647","0","1","0","0","2003-2004","bemidji-state"
"Guylaine Haché","F","Sr","31","4","2","6","0.1935","1","1","1","0","2003-2004","bemidji-state"
"Nicky Kluck","C","Jr","33","0","6","6","0.1818","0","0","0","0","2003-2004","bemidji-state"
"Jenn Sadler","F","Fr","34","3","2","5","0.1471","1","0","0","0","2003-2004","bemidji-state"
"Melissa Schaeffer","F/D","So","29","2","3","5","0.1724","0","0","0","0","2003-2004","bemidji-state"
"Laura Lankton","D","So","34","1","4","5","0.1471","0","0","0","0","2003-2004","bemidji-state"
"Cassi Petsch","F/D","So","32","2","2","4","0.1250","0","0","0","0","2003-2004","bemidji-state"
"Nina Ziegenhals","D","Fr","34","0","4","4","0.1176","0","0","0","0","2003-2004","bemidji-state"
"Sarah Zuelke","D","So","30","1","2","3","0.1000","0","1","0","0","2003-2004","bemidji-state"
"Mandy Bambrough","D","So","33","1","1","2","0.0606","0","1","0","0","2003-2004","bemidji-state"
"Ashley Medori","D","So","29","0","2","2","0.0690","0","0","0","0","2003-2004","bemidji-state"
"Stephanie Hoard","C","Fr","25","0","1","1","0.0400","0","0","0","0","2003-2004","bemidji-state"
"Emily Curcuruto","D","So","20","0","1","1","0.0500","0","0","0","0","2003-2004","bemidji-state"
"Andrea Carlson","F","Jr","3","0","1","1","0.3333","0","0","0","0","2003-2004","bemidji-state"
"Crystal Zace","G","Fr","1","0","0","0","0.0000","0","0","0","0","2003-2004","bemidji-state"
"Anik Coté","G","Sr","19","0","0","0","0.0000","0","0","0","0","2003-2004","bemidji-state"
"Alana Burns","F","Fr","20","0","0","0","0.0000","0","0","0","0","2003-2004","bemidji-state"
"Jill Luebke","G","So","18","0","0","0","0.0000","0","0","0","0","2003-2004","bemidji-state"
"Meghan Gillis","F","Fr","26","24","19","43","1.6538","2","2","1","0","2003-2004","bowdoin"
"Britney Carr","F","Sr","25","15","23","38","1.5200","3","1","0","0","2003-2004","bowdoin"
"Marissa O'Neil","F","Jr","26","18","17","35","1.3462","5","2","0","0","2003-2004","bowdoin"
"Kate Leonard","F","Fr","26","16","15","31","1.1923","1","1","0","0","2003-2004","bowdoin"
"Gillian McDonald","F","Sr","26","10","15","25","0.9615","2","0","0","0","2003-2004","bowdoin"
"Katie Forney","F","Fr","26","8","11","19","0.7308","4","1","0","0","2003-2004","bowdoin"
"Jayme Woogerd","F","Fr","26","8","11","19","0.7308","0","0","0","0","2003-2004","bowdoin"
"Meghan Tanguay","F","Fr","26","1","14","15","0.5769","0","1","0","0","2003-2004","bowdoin"
"Kelsey Wilcox","F","So","26","9","5","14","0.5385","0","0","0","0","2003-2004","bowdoin"
"Lydia Hawkins","D","Fr","26","2","11","13","0.5000","1","1","0","0","2003-2004","bowdoin"
"Nicki Young","F","So","26","4","8","12","0.4615","0","0","0","0","2003-2004","bowdoin"
"Cathie Quinlan","D","Jr","26","1","11","12","0.4615","0","0","1","0","2003-2004","bowdoin"
"Sadie Wieschhoff","D","Sr","26","1","6","7","0.2692","0","0","0","0","2003-2004","bowdoin"
"Jess Burke","F","Sr","24","3","3","6","0.2500","1","0","0","0","2003-2004","bowdoin"
"Sheryl Stevens","F","Fr","26","1","5","6","0.2308","0","1","0","0","2003-2004","bowdoin"
"Rebecca Selden","D","So","26","1","5","6","0.2308","1","0","0","0","2003-2004","bowdoin"
"Mary Kate Wheeler","D","Fr","23","5","0","5","0.2174","0","0","0","0","2003-2004","bowdoin"
"Cat MacEachern","G","So","9","1","0","1","0.1111","0","0","1","0","2003-2004","bowdoin"
"Jen Pelkey","F","Sr","15","1","0","1","0.0667","0","0","0","0","2003-2004","bowdoin"
"Jenna O'Brien","F","So","1","0","0","0","0.0000","0","0","0","0","2003-2004","bowdoin"
"Nathalie Morgan","G","So","20","0","0","0","0.0000","0","0","0","0","2003-2004","bowdoin"
"Sarah Courtney","F","So","31","8","8","16","0.5161","0","1","0","0","2003-2004","boston-college"
"Kerri Sanders","F","Jr","31","9","4","13","0.4194","1","3","0","0","2003-2004","boston-college"
"Heidi Seidewand","F","Jr","30","5","7","12","0.4000","1","3","0","0","2003-2004","boston-college"
"Alaina Clark","F","Sr","31","3","8","11","0.3548","1","1","0","1","2003-2004","boston-college"
"Kristin Blundo","F","So","27","4","6","10","0.3704","0","1","0","1","2003-2004","boston-college"
"Michelle Lombardi","F","Fr","30","4","6","10","0.3333","1","1","0","0","2003-2004","boston-college"
"Jen Fischl","D","So","31","1","7","8","0.2581","0","0","0","0","2003-2004","boston-college"
"Nancy Gillis","","","31","5","2","7","0.2258","1","2","0","0","2003-2004","boston-college"
"Jill McInnis","D","So","31","1","6","7","0.2258","0","0","0","0","2003-2004","boston-college"
"Megan Scully","F","So","31","5","1","6","0.1935","0","0","0","0","2003-2004","boston-college"
"Kaitlin McGrath","F","Sr","30","4","2","6","0.2000","1","0","0","0","2003-2004","boston-college"
"Lindsey Bazzone","F","Jr","31","1","5","6","0.1935","0","0","0","0","2003-2004","boston-college"
"Sarah Carlson","D","Jr","31","1","5","6","0.1935","0","0","0","0","2003-2004","boston-college"
"Jessica Wilson","D","Fr","31","0","2","2","0.0645","0","0","0","0","2003-2004","boston-college"
"Jessica Tychsen","D","Sr","30","0","1","1","0.0333","0","0","0","0","2003-2004","boston-college"
"Sarah McGarrell","D","Sr","31","0","1","1","0.0323","0","0","0","0","2003-2004","boston-college"
"Megan Harriman","F","Fr","7","0","0","0","0.0000","0","0","0","0","2003-2004","boston-college"
"Lisa Davis","G","Jr","25","0","0","0","0.0000","0","0","0","0","2003-2004","boston-college"
"Laura Mueller","D","Fr","29","0","0","0","0.0000","0","0","0","0","2003-2004","boston-college"
"Alison Quandt","G","So","2","0","0","0","0.0000","0","0","0","0","2003-2004","boston-college"
"Natalie Hummel","F","So","2","0","0","0","0.0000","0","0","0","0","2003-2004","boston-college"
"Christine Moynihan","G","Fr","4","0","0","0","0.0000","0","0","0","0","2003-2004","boston-college"
"Jessica Link","F","Jr","30","28","20","48","1.6000","3","7","1","0","2003-2004","brown"
"Keaton Zucker","F","So","31","14","23","37","1.1935","1","4","1","0","2003-2004","brown"
"Amy McLaughlin","D","Jr","31","6","19","25","0.8065","0","2","1","2","2003-2004","brown"
"Margaret Ramsay","F","So","31","9","13","22","0.7097","0","1","0","0","2003-2004","brown"
"Krissy McManus","F","Sr","31","11","10","21","0.6774","2","1","0","0","2003-2004","brown"
"Katie Guay","F","Jr","31","8","13","21","0.6774","3","1","0","0","2003-2004","brown"
"Kerry Nugent","F","Jr","31","5","11","16","0.5161","1","1","0","0","2003-2004","brown"
"Krystal Strassman","F/D","Fr","24","4","10","14","0.5833","1","0","0","0","2003-2004","brown"
"Kathryn Moos","D","Fr","28","9","4","13","0.4643","4","1","2","0","2003-2004","brown"
"Myria Heinhuis","D","So","31","1","12","13","0.4194","0","0","0","0","2003-2004","brown"
"Lindsey Glennon","F","So","31","5","7","12","0.3871","1","0","0","0","2003-2004","brown"
"Ashlee Drover","D","So","31","3","9","12","0.3871","1","0","0","0","2003-2004","brown"
"Christine Holdredge","F","Fr","31","2","5","7","0.2258","0","0","0","0","2003-2004","brown"
"Katie Lafleur","D","Sr","25","1","5","6","0.2400","1","0","0","0","2003-2004","brown"
"Marguerite McDonald","D","Sr","31","1","4","5","0.1613","0","0","0","0","2003-2004","brown"
"Kelly Sheridan","F","Sr","30","0","3","3","0.1000","0","0","0","0","2003-2004","brown"
"Lauren Deeb","D","Fr","20","1","1","2","0.1000","0","0","0","0","2003-2004","brown"
"Ann Brophy","F/D","Fr","16","0","2","2","0.1250","0","0","0","0","2003-2004","brown"
"Larissa Ezzio","F","So","7","1","0","1","0.1429","0","0","0","0","2003-2004","brown"
"Sarah Crowley","F","Sr","19","0","1","1","0.0526","0","0","0","0","2003-2004","brown"
"Chelsea Loughran","F","Sr","3","0","1","1","0.3333","0","0","0","0","2003-2004","brown"
"Eliza Lane","D","Fr","14","0","1","1","0.0714","0","0","0","0","2003-2004","brown"
"Kim Fleet","D","Sr","1","0","0","0","0.0000","0","0","0","0","2003-2004","brown"
"Jodi Blustin","G","So","1","0","0","0","0.0000","0","0","0","0","2003-2004","brown"
"Marie-Pier Desbiens","G","Fr","3","0","0","0","0.0000","0","0","0","0","2003-2004","brown"
"Katie Germain","G","Sr","29","0","0","0","0.0000","0","0","0","0","2003-2004","brown"
"Emma Wadsworth","F","Sr","25","10","4","14","0.5600","2","3","0","0","2003-2004","buffalo-state"
"Jamie Overbeck","F","Fr","25","8","4","12","0.4800","1","3","1","0","2003-2004","buffalo-state"
"Kim Costanzo","F","Sr","25","3","9","12","0.4800","0","1","0","0","2003-2004","buffalo-state"
"Tara Ostempowski","F","So","25","4","6","10","0.4000","0","1","0","0","2003-2004","buffalo-state"
"Janelle Schmitt","F","Sr","25","3","6","9","0.3600","0","1","0","0","2003-2004","buffalo-state"
"Amanda Uschold","F","So","24","3","6","9","0.3750","0","2","0","0","2003-2004","buffalo-state"
"Madeline Loftus","C","So","25","3","3","6","0.2400","0","0","0","0","2003-2004","buffalo-state"
"Nicole Jewell","D","So","25","0","5","5","0.2000","0","0","0","0","2003-2004","buffalo-state"
"Jennifer Trees","D","So","24","0","3","3","0.1250","0","0","0","0","2003-2004","buffalo-state"
"Tami Clayton","F","Fr","25","2","0","2","0.0800","0","0","0","0","2003-2004","buffalo-state"
"Carolyn Totaro","D","Sr","25","2","0","2","0.0800","0","0","0","0","2003-2004","buffalo-state"
"Jennifer Downey","F","Sr","23","1","1","2","0.0870","1","1","0","0","2003-2004","buffalo-state"
"Mal Nutting","D","Fr","25","1","1","2","0.0800","0","0","0","0","2003-2004","buffalo-state"
"Arity Buckley","F","Jr","25","1","1","2","0.0800","0","0","0","0","2003-2004","buffalo-state"
"Courtney Wagner","D","Fr","23","0","2","2","0.0870","0","0","0","0","2003-2004","buffalo-state"
"Kristin Shumway","D","Fr","23","0","1","1","0.0435","0","0","0","0","2003-2004","buffalo-state"
"Jessica DeCarlo","F","Sr","25","0","1","1","0.0400","0","0","0","0","2003-2004","buffalo-state"
"Gina Koch","D","Fr","25","0","1","1","0.0400","0","0","0","0","2003-2004","buffalo-state"
"Crissy Michalek","G","So","9","0","0","0","0.0000","0","0","0","0","2003-2004","buffalo-state"
"Mary Keddie","G","Sr","19","0","0","0","0.0000","0","0","0","0","2003-2004","buffalo-state"
"Amanda Thornton","G","Sr","14","8","3","11","0.7857","0","0","1","0","2003-2004","chatham"
"Morgan Gable","F","Sr","14","3","4","7","0.5000","0","0","0","0","2003-2004","chatham"
"Lynn Caputo","F","Jr","14","0","4","4","0.2857","0","0","0","0","2003-2004","chatham"
"Tonya Schaldenbrand","F","So","12","1","2","3","0.2500","0","0","0","0","2003-2004","chatham"
"Christina Kunz","D","Fr","11","0","3","3","0.2727","0","0","0","0","2003-2004","chatham"
"Jen Martin","F/D","Jr","14","0","2","2","0.1429","0","0","0","0","2003-2004","chatham"
"Olivia Langguth","D","Fr","14","1","0","1","0.0714","0","0","0","0","2003-2004","chatham"
"Cassi Birriel","F","Jr","7","0","1","1","0.1429","0","0","0","0","2003-2004","chatham"
"Alison Seaman","D","So","14","0","0","0","0.0000","0","0","0","0","2003-2004","chatham"
"Sirena Enright","G","Fr","4","0","0","0","0.0000","0","0","0","0","2003-2004","chatham"
"Joanne Braga","G","Sr","10","0","0","0","0.0000","0","0","0","0","2003-2004","chatham"
"Kate Sweeney","F","Sr","23","9","9","18","0.7826","1","2","0","0","2003-2004","colby"
"Michele Barmash","F","Jr","21","9","8","17","0.8095","1","1","0","0","2003-2004","colby"
"Heather DeVito","F","Jr","20","12","3","15","0.7500","2","4","1","1","2003-2004","colby"
"Caitlin Hickey","F","So","23","1","8","9","0.3913","0","0","0","0","2003-2004","colby"
"Jennifer McAleer","F","Fr","22","4","3","7","0.3182","0","0","1","0","2003-2004","colby"
"Sarah Goodrich","F","Jr","23","1","5","6","0.2609","0","0","0","0","2003-2004","colby"
"Sasha Schroeder","F","Jr","23","2","3","5","0.2174","0","0","0","0","2003-2004","colby"
"Christina Dotchin","D","Sr","23","1","4","5","0.2174","0","1","0","0","2003-2004","colby"
"Lindsay Tedeschi","F","Fr","23","1","2","3","0.1304","0","0","0","0","2003-2004","colby"
"Erin Schlossman","D","Fr","23","0","3","3","0.1304","0","0","0","0","2003-2004","colby"
"Mallory Young","D","Jr","23","2","0","2","0.0870","0","0","0","0","2003-2004","colby"
"Meghan Barringer","D","Jr","23","0","2","2","0.0870","0","0","0","0","2003-2004","colby"
"Kristin Putnam","D","Jr","19","1","0","1","0.0526","0","0","0","0","2003-2004","colby"
"Lindsay Barada","F","So","23","1","0","1","0.0435","0","0","0","0","2003-2004","colby"
"Lynn Hasday","G","Jr","17","0","1","1","0.0588","0","0","0","0","2003-2004","colby"
"Caitlin Leahy","D","So","23","0","1","1","0.0435","0","0","0","0","2003-2004","colby"
"Johanna Black","F","So","2","0","0","0","0.0000","0","0","0","0","2003-2004","colby"
"Sarah Webster","G","Jr","1","0","0","0","0.0000","0","0","0","0","2003-2004","colby"
"Anna Morro","D","So","19","0","0","0","0.0000","0","0","0","0","2003-2004","colby"
"Alex Harris","G","Fr","12","0","0","0","0.0000","0","0","0","0","2003-2004","colby"
"Kate Allgood","C","So","30","18","15","33","1.1000","5","8","1","0","2003-2004","clarkson"
"Ashley Shaidle","LW","Fr","31","16","16","32","1.0323","5","5","2","0","2003-2004","clarkson"
"Jill Nolan","C","Fr","30","10","15","25","0.8333","1","1","0","0","2003-2004","clarkson"
"Lindsay Williams","LW","Fr","30","12","11","23","0.7667","1","2","1","0","2003-2004","clarkson"
"Emma Madigan","RW","Fr","31","9","8","17","0.5484","2","5","0","1","2003-2004","clarkson"
"Lauren Lubrano","D","Fr","29","1","13","14","0.4828","1","1","0","0","2003-2004","clarkson"
"Kristi Shaw","C","Jr","30","5","2","7","0.2333","0","1","0","0","2003-2004","clarkson"
"Melissa Marshall","LW","Fr","29","3","4","7","0.2414","0","1","0","0","2003-2004","clarkson"
"Christine Bailkowski","D","Fr","29","1","6","7","0.2414","0","1","0","0","2003-2004","clarkson"
"Christine Hurlock","C","Fr","28","2","4","6","0.2143","0","1","0","0","2003-2004","clarkson"
