"Name","Pos","Year","GP","G","A","Pts.","Pt/Gm","PEN","PIM","GWG","PPG","SHG","ENG","Season","Team"
"Stacey Kempson","F","Fr","20","9","15","24","1.2000","27","62","2","1","0","0","2007-2008","adrian"
"Steph Dimini","F","Fr","21","10","6","16","0.7619","8","16","1","5","0","0","2007-2008","adrian"
"Keegan Castrillo","F","Fr","23","9","6","15","0.6522","12","24","0","3","0","0","2007-2008","adrian"
"Jessica Grubbs","F","Fr","20","4","8","12","0.6000","3","6","3","3","0","0","2007-2008","adrian"
"Ainsley Coon","F","Fr","23","9","1","10","0.4348","4","8","1","4","0","0","2007-2008","adrian"
"Dana Funkenhauser","D","Fr","22","1","9","10","0.4545","24","48","0","0","0","0","2007-2008","adrian"
"Alexis Glenn","D","Fr","23","2","7","9","0.3913","26","52","1","2","0","0","2007-2008","adrian"
"Nicky Futers","F","Fr","20","3","5","8","0.4000","13","26","0","1","1","0","2007-2008","adrian"
"Alysha Drouin","F","Fr","19","4","2","6","0.3158","9","18","1","0","0","0","2007-2008","adrian"
"Jodi Myers","D","Fr","23","3","3","6","0.2609","12","24","0","0","0","0","2007-2008","adrian"
"Leah Humphries","F","Fr","21","2","4","6","0.2857","18","36","0","1","0","0","2007-2008","adrian"
"Danielle Maludy","D","Fr","23","2","4","6","0.2609","6","12","0","1","0","0","2007-2008","adrian"
"Ashley Aiken","F/D","Fr","16","3","2","5","0.3125","4","8","0","2","0","0","2007-2008","adrian"
"Rachel Walters","F","So","23","0","5","5","0.2174","8","16","0","0","0","0","2007-2008","adrian"
"Andrea Soloko","D","Fr","20","2","2","4","0.2000","18","36","0","0","0","0","2007-2008","adrian"
"Tracy McKay","D","Fr","9","0","4","4","0.4444","3","6","0","0","0","0","2007-2008","adrian"
"Lauren Anastos","F","Fr","21","1","1","2","0.0952","9","18","0","0","0","0","2007-2008","adrian"
"Lynn Loechli","F","Fr","15","0","2","2","0.1333","5","10","0","0","0","0","2007-2008","adrian"
"Nicole Zynda","D","So","23","1","0","1","0.0435","6","12","1","0","0","0","2007-2008","adrian"
"Darcy Guidice","F","Fr","6","1","0","1","0.1667","2","4","0","0","0","0","2007-2008","adrian"
"Jen Kelly","F","So","7","0","1","1","0.1429","3","6","0","0","0","0","2007-2008","adrian"
"Rachel Husen","F","Fr","3","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","adrian"
"Erin Roach","G","Fr","2","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","adrian"
"Kristina Lince","F","Fr","3","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","adrian"
"Dana Timm","G","So","12","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","adrian"
"Samantha Hoot","D","Fr","3","0","0","0","0.0000","0","0","0","0","0","0","2007-2008","adrian"
"Allison Hobe","D","Fr","7","0","0","0","0.0000","7","14","0","0","0","0","2007-2008","adrian"
"Ashley Kavanagh","G","Fr","12","0","0","0","0.0000","2","4","0","0","0","0","2007-2008","adrian"
