Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Carly Haggard	F	Sr	35	32	24	56	1.6000	6	4	1	0
Katie Weatherston	F	Fr	35	23	24	47	1.3429	6	3	0	0
Sarah Clark	F	Jr	33	14	22	36	1.0909	3	1	1	0
Gillian Apps	F	Fr	30	22	13	35	1.1667	1	6	0	1
Cherie Piper	F	Fr	26	17	15	32	1.2308	1	2	0	1
Correne Bredin	D	Sr	33	13	14	27	0.8182	3	1	0	0
Tiffany Hagge	F	Fr	35	9	18	27	0.7714	1	0	1	0
Amy Catlin	F/D	Sr	35	6	15	21	0.6000	2	1	0	0
Krista Dornfried	F	So	35	9	7	16	0.4571	3	0	1	0
Louise Pietrangelo	D	Jr	35	2	14	16	0.4571	0	1	0	0
Danielle Grundy	F	So	31	2	14	16	0.5161	0	0	0	0
Cheryl Muranko	F	So	23	5	8	13	0.5652	0	0	0	0
Meagan Walton	F	So	12	5	5	10	0.8333	0	0	1	0
Lesley Reiart	D	Jr	35	0	10	10	0.2857	0	0	0	0
Alana BreMiller	D	So	28	4	5	9	0.3214	1	2	0	0
Emily Nerland	D	Fr	35	1	7	8	0.2286	0	0	0	0
Alex Zagaria	D	So	35	0	7	7	0.2000	0	0	0	0
Jillian Rockoff	D	Sr	35	1	4	5	0.1429	0	0	0	0
Carolyn Steele	F	Sr	29	2	0	2	0.0690	0	1	0	0
Lydia Wheatley	F	Sr	2	0	2	2	1.0000	0	0	0	0
Amy Ferguson	G	Sr	32	0	0	0	0.0000	0	0	0	0
Kate Lane	G	Fr	5	0	0	0	0.0000	0	0	0	0
Stephanie Cochran	G	Fr	8	0	0	0	0.0000	0	0	0	0
