Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Maggie Kennedy	F	Jr	33	16	23	39	1.1818	15	30	1	5	1	1
Jenna Cunningham	F	So	17	17	20	37	2.1765	8	16	3	6	0	2
Sarah Parsons	F	So	31	15	19	34	1.0968	8	16	2	3	2	0
Shannon Bowman	F	Jr	33	9	18	27	0.8182	3	6	1	6	0	1
Julia Bronson	D	Jr	33	6	17	23	0.6970	7	14	3	3	0	0
Amanda Trunzo	F	Fr	31	11	6	17	0.5484	15	30	2	4	0	0
Nicole Ruta	F	Sr	33	4	11	15	0.4545	21	42	1	1	0	0
Sarah Newnam	D	Jr	33	2	12	14	0.4242	29	58	0	2	0	0
Carrie Thompson	F	Sr	33	12	1	13	0.3939	17	34	4	3	2	0
Sarah Toupal	F	So	33	1	9	10	0.3030	8	16	0	0	0	0
Amy Cobb	D	Sr	30	5	4	9	0.3000	5	10	0	2	0	0
Marley McMillan	F	Jr	33	2	5	7	0.2121	9	18	1	0	0	0
Larissa Roche	F	Fr	33	3	3	6	0.1818	1	2	0	0	0	0
Katie Gray	D	Jr	30	2	3	5	0.1667	0	0	0	1	0	0
Katie Horner	D	Fr	33	0	4	4	0.1212	15	30	0	0	0	0
Alyssa Boehm	F	Fr	25	1	1	2	0.0800	2	4	0	0	0	0
Sue Schmitz	D	So	33	0	2	2	0.0606	0	0	0	0	0	0
Mariel Lacina	G	So	7	0	0	0	0.0000	0	0	0	0	0	0
Carli Clemis	G	Jr	27	0	0	0	0.0000	1	2	0	0	0	0
