Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Laura Hurd	F	Sr	28	25	33	58	2.0714	8	6	2	0
Jaclyn O'Neil	F	Jr	28	13	28	41	1.4643	4	1	1	0
Charissa Gawant	F	Sr	25	17	14	31	1.2400	1	4	0	0
Stefanie McLean	F	So	26	13	16	29	1.1154	2	4	0	0
Lindsay Palmer	F	Sr	24	11	18	29	1.2083	3	1	1	1
Shannon Sargent	F	Sr	25	15	8	23	0.9200	3	3	0	0
LeAnne Denman	D	Sr	26	4	13	17	0.6538	1	1	0	0
Stacy Collins	F	So	26	10	3	13	0.5000	0	0	0	0
Stacey Calic	D	Jr	26	0	13	13	0.5000	0	0	0	0
Farren Hart	F	Fr	24	3	9	12	0.5000	1	0	0	0
Amy Rudisill	F	Sr	27	4	5	9	0.3333	0	2	0	0
Danielle Wysomierski	D	Jr	26	3	6	9	0.3462	0	0	0	0
Sheena Calic	D	Jr	23	0	8	8	0.3478	0	0	0	0
Shannon Fong	F	Sr	27	3	4	7	0.2593	0	0	0	0
Caitlin Crowl	D	Jr	25	0	7	7	0.2800	0	0	0	0
Julie Clune	D	Sr	26	1	5	6	0.2308	0	0	0	0
Jenelle Bauer	D	Sr	14	0	6	6	0.4286	0	0	0	0
Sonya Lynk	D	Sr	21	0	6	6	0.2857	0	0	0	0
Amy Hunnewell	F	Fr	15	2	3	5	0.3333	0	0	0	0
Sarah Fewchuk	F	Sr	10	0	5	5	0.5000	0	0	0	0
Rebecca Coakley	D	Fr	15	4	0	4	0.2667	1	0	0	1
Mary-Kate Geratowski	C	Fr	9	1	2	3	0.3333	0	0	0	0
Megan Lafave	F	Sr	8	1	2	3	0.3750	0	0	0	0
Edith Racine	G	Sr	20	0	0	0	0.0000	0	0	0	0
Cara McGurry	G	Fr	9	0	0	0	0.0000	0	0	0	0
