Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Ashley Ryan	F	Sr	30	19	42	61	2.0333	11	22	2	1	1	2
Ashton Hogan	F	Sr	30	32	18	50	1.6667	16	32	6	10	6	4
Brooke Wilgosh	D	Sr	30	5	33	38	1.2667	7	14	1	2	0	0
Cassidy Delainey	F	Sr	29	24	13	37	1.2759	4	8	7	17	0	0
Erin Weston	F	Sr	29	11	20	31	1.0690	5	10	1	4	0	0
Phoebe Piku	D	Jr	30	7	12	19	0.6333	22	44	1	1	0	0
Johanna Eidensten	F	So	30	6	10	16	0.5333	7	14	1	2	0	0
Olivia Nyström	F	Jr	26	8	7	15	0.5769	1	2	2	1	1	1
Louisa Lippiatt Durnell	F	Fr	30	4	11	15	0.5000	8	16	1	1	0	0
Anna Tude	F	So	28	5	6	11	0.3929	5	10	1	2	0	0
Rachel Grampp	D	Fr	25	3	6	9	0.3600	7	14	0	0	0	0
Sydney Fischer	F	So	25	2	6	8	0.3200	10	20	1	0	0	0
Sarah Hughson	F	Fr	16	3	4	7	0.4375	4	8	0	0	0	0
Jessica Prance	F	So	20	3	3	6	0.3000	4	8	1	1	0	0
Meghan Fonfara	F	Fr	21	3	3	6	0.2857	9	18	1	0	0	0
McKenna Farole	D	Jr	26	0	6	6	0.2308	3	6	0	0	0	0
Lindsay Burrows	D	Sr	26	1	4	5	0.1923	5	10	0	0	0	0
Erin Kishoni	D	Fr	23	0	5	5	0.2174	1	2	0	0	0	0
Arianna Smith	F	Fr	20	3	1	4	0.2000	3	6	0	0	0	0
Kyra McDonald	F	Fr	14	1	2	3	0.2143	2	4	0	0	0	0
Marissa Mongillo	D	Sr	9	1	1	2	0.2222	2	4	0	0	0	0
Meagan Ondrick	D	Fr	23	0	1	1	0.0435	2	4	0	0	0	0
Kierra Pietramala	G	So	2	0	0	0	0.0000	0	0	0	0	0	0
Kyle Nelson	G	So	20	0	0	0	0.0000	5	10	0	0	0	0
Kelcey Crawford	G	Fr	9	0	0	0	0.0000	1	2	0	0	0	0
