Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Lexi Klein	F	Fr	21	9	10	19	0.9048	4	8	2	1	1	0
Maggie Layo	F	So	25	10	5	15	0.6000	5	10	2	4	0	1
Caroline Hughes	F	Fr	25	6	9	15	0.6000	6	12	1	3	0	0
Meredith Vlachos	F/D	Fr	24	4	5	9	0.3750	8	16	2	1	0	0
Courtney Walpole	F	Fr	25	4	4	8	0.3200	4	8	0	2	0	0
Teneal Perry	F	Fr	24	4	3	7	0.2917	3	6	1	1	0	0
Ellen Carter	D	Fr	25	1	6	7	0.2800	8	16	0	0	0	0
Dynnea Bezona	F	Fr	14	4	2	6	0.4286	0	0	0	1	0	0
Holly Erbe	D	Fr	23	3	3	6	0.2609	4	8	0	1	0	0
Rachel Lustenring	F	Fr	25	3	3	6	0.2400	2	4	1	0	0	0
Danielle Comorre	D	Fr	25	2	4	6	0.2400	6	12	0	1	0	1
Linnéa Jonsson	F	Fr	25	1	4	5	0.2000	2	4	1	0	0	0
Meaghan Farragher	D	Fr	25	1	4	5	0.2000	4	8	1	0	0	0
Maddy McNeally	F	Fr	18	0	3	3	0.1667	2	4	0	0	0	0
Samantha Fuller	F	Fr	19	2	0	2	0.1053	2	4	0	0	0	0
Allison Young	F	Fr	25	2	0	2	0.0800	8	16	2	0	0	0
Jordyn Cholish	F	Fr	15	1	1	2	0.1333	3	6	1	0	0	0
Hazel Brewster	F	Fr	8	0	2	2	0.2500	0	0	0	0	0	0
Lauren Yakush	D	So	20	0	1	1	0.0500	2	4	0	0	0	0
Kylie Hallam	D	Fr	6	0	1	1	0.1667	2	4	0	0	0	0
Michelle Robichaud	D	Fr	21	0	1	1	0.0476	2	4	0	0	0	0
Carrera Noelscher	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Samantha Crowley	D	So	5	0	0	0	0.0000	0	0	0	0	0	0
Alicia Steeves	F	So	2	0	0	0	0.0000	0	0	0	0	0	0
Chloe Castellano	F	So	5	0	0	0	0.0000	0	0	0	0	0	0
Vendela Jonsson	G	Fr	22	0	0	0	0.0000	0	0	0	0	0	0
