Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Sara Sleik	C	So	25	14	6	20	0.8000	0	5	2	0
Brenda Peterson	F	So	25	8	10	18	0.7200	2	2	0	0
Danielle Syrowik	C	So	21	9	6	15	0.7143	2	2	2	0
Ashley Leitch	D	So	25	5	9	14	0.5600	1	2	0	0
Adele Horrigan	F	Fr	24	4	9	13	0.5417	0	1	0	0
Bree Cote	D	So	25	1	10	11	0.4400	0	1	0	0
Veera Salomaa	D	Fr	25	1	7	8	0.3200	1	0	0	0
Tina Puuri	F	Fr	12	4	3	7	0.5833	0	2	0	0
Chaslyn Duffek	F	Fr	25	5	1	6	0.2400	0	1	0	0
Amy Danielson	F	Fr	25	3	3	6	0.2400	0	1	0	0
Katie O'Brien	W	So	14	2	4	6	0.4286	0	2	0	0
Jana Riutta	C	Jr	22	2	3	5	0.2273	1	0	0	0
Gina Aho	D	Fr	25	0	4	4	0.1600	0	0	0	0
Samantha Fisher	D	Fr	20	0	3	3	0.1500	0	0	0	0
Stephanie Emmi	W	So	5	1	1	2	0.4000	0	0	0	0
Catherine Fisher	D	Fr	23	0	1	1	0.0435	0	0	0	0
Alexa Watkins	G	Jr	2	0	0	0	0.0000	0	0	0	0
Corinne Czekaj	G	So	13	0	0	0	0.0000	0	0	0	0
Casey Cole	W	So	1	0	0	0	0.0000	0	0	0	0
Katie Markovich	G	Jr	15	0	0	0	0.0000	0	0	0	0
Jessica Wilds	F	Fr	5	0	0	0	0.0000	0	0	0	0
Elisa Jago	D	Fr	6	0	0	0	0.0000	0	0	0	0
