Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Sara Sleik	C	Jr	23	10	11	21	0.9130	0	2	2	1
Danielle Syrowik	C	Jr	23	5	11	16	0.6957	0	2	0	0
Jana Riutta	C	Sr	25	11	4	15	0.6000	1	5	0	0
Brenda Peterson	F	Jr	25	6	9	15	0.6000	0	3	0	0
Kendra Benson	F	Fr	25	4	11	15	0.6000	2	1	1	0
Ashley Leitch	D	Jr	23	1	14	15	0.6522	0	1	0	0
Bree Cote	D	Jr	25	7	7	14	0.5600	0	2	2	0
Jessica Jones	D	Fr	25	2	6	8	0.3200	0	1	0	0
Emily Marcotte	F	Fr	25	6	1	7	0.2800	0	2	0	0
Amy Danielson	F	So	21	5	2	7	0.3333	1	5	0	0
Stephanie Emmi	W	Jr	17	3	3	6	0.3529	0	0	0	0
Chaslyn Duffek	F	So	25	2	4	6	0.2400	0	0	0	0
Jessica Redfield	D	Fr	24	1	5	6	0.2500	0	0	0	0
Carly Akers	D	Fr	12	1	3	4	0.3333	0	1	0	0
Adele Horrigan	F	So	11	1	1	2	0.1818	0	0	0	0
Nikki Arens	F	Fr	25	0	2	2	0.0800	0	0	0	0
Annika Danielson	G	Fr	5	0	0	0	0.0000	0	0	0	0
Jessica Blake	C	Fr	6	0	0	0	0.0000	0	0	0	0
Jennifer Kelly	F	Fr	13	0	0	0	0.0000	0	0	0	0
Samantha Fisher	D	So	21	0	0	0	0.0000	0	0	0	0
Catherine Fisher	D	So	16	0	0	0	0.0000	0	0	0	0
Samantha Bishop	C	Fr	10	0	0	0	0.0000	0	0	0	0
Katie Markovich	G	Sr	16	0	0	0	0.0000	0	0	0	0
Corinne Czekaj	G	Jr	8	0	0	0	0.0000	0	0	0	0
Elisa Jago	D	So	6	0	0	0	0.0000	0	0	0	0
