Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kelly Poelstra	F	So	24	2	5	7	0.2917	18	36	0	1	0	0
Jolene Kneebone	F/D	Jr	24	0	7	7	0.2917	18	36	0	0	0	0
Nicole Schumacher	D	Sr	24	3	3	6	0.2500	19	46	0	2	0	0
Alisha Ellertson	F	Jr	24	3	3	6	0.2500	14	39	1	0	0	0
Brittany Knopp	F	Fr	23	2	1	3	0.1304	8	16	0	1	0	0
Rosario Holt	D	Fr	18	0	3	3	0.1667	8	16	0	0	0	0
Taryn Moffat	F	Jr	24	2	0	2	0.0833	12	24	0	0	0	0
Robin Stockwell	F	Fr	24	2	0	2	0.0833	4	8	0	0	0	0
Siera Hache	F	Fr	24	1	1	2	0.0833	13	26	0	1	0	0
My Lindskog	F	Fr	22	1	1	2	0.0909	4	8	0	0	0	0
Allison Lee	F	Jr	22	1	0	1	0.0455	6	12	0	0	0	0
Mariah Mumford	F	Jr	24	0	1	1	0.0417	9	18	0	0	0	0
Katie Harris	D	Jr	24	0	0	0	0.0000	13	26	0	0	0	0
Megan Malwitz	F	Fr	12	0	0	0	0.0000	0	0	0	0	0	0
Molly Mandoli	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
Jackie D'Urso	D	So	24	0	0	0	0.0000	2	4	0	0	0	0
Ashley Pavlish	G	So	16	0	0	0	0.0000	0	0	0	0	0	0
Cassie Behl	F	Fr	24	0	0	0	0.0000	0	0	0	0	0	0
Stephanie LaMore	G	So	10	0	0	0	0.0000	1	2	0	0	0	0
Danni Shingleton	F	Fr	5	0	0	0	0.0000	2	4	0	0	0	0
